image_file,condition,occlusion,distractor,non_target,speaker_answer
exp2_001.jpeg,cond2,absent,present,2,the triangle with vertical stripes
exp2_002.jpeg,cond4,present,present,4,gray checkerboard pattern
exp2_003.jpeg,cond3,present,absent,4,circle with gray wavy stripes
exp2_004.jpeg,cond1,absent,absent,3,Blue-outlined square with a gray checkerboard pattern.
exp2_005.jpeg,cond2,absent,present,3,wavy square
exp2_006.jpeg,cond2,absent,present,4,checkerboard circle
exp2_007.jpeg,cond4,present,present,3,
exp2_008.jpeg,cond1,absent,absent,4,the blue-outlined triangle with vertical stripes
exp2_009.jpeg,cond4,present,present,2,wavy grey circle
exp2_010.jpeg,cond3,present,absent,3,vertical striped square
exp2_011.jpeg,cond4,present,present,2,white wavy lines on gray
exp2_012.jpeg,cond1,absent,absent,4,wavy triangle
exp2_013.jpeg,cond2,absent,present,2,The gray dotted square.
exp2_014.jpeg,cond2,absent,present,4,Red star with a checkerboard pattern.
exp2_015.jpeg,cond4,present,present,2,Green-outlined triangle with gray polka dots.
exp2_016.jpeg,cond1,absent,absent,2,
exp2_017.jpeg,cond3,present,absent,4,green star with vertical stripes
exp2_018.jpeg,cond3,present,absent,3,blue-outlined polka-dot star
exp2_019.jpeg,cond4,present,present,3,Red-bordered dotted triangle.
exp2_020.jpeg,cond4,present,present,3,
exp2_021.jpeg,cond1,absent,absent,3,
exp2_022.jpeg,cond1,absent,absent,4,
exp2_023.jpeg,cond2,absent,present,4,green dotted circle
exp2_024.jpeg,cond2,absent,present,2,green triangle with vertical stripes
exp2_025.jpeg,cond3,present,absent,2,the white
exp2_026.jpeg,cond4,present,present,2,checkerboard star
exp2_027.jpeg,cond3,present,absent,2,blue checkered star
exp2_028.jpeg,cond2,absent,present,3,blue triangle
exp2_029.jpeg,cond1,absent,absent,4,
exp2_030.jpeg,cond2,absent,present,3,green-outlined circle with wavy gray pattern
exp2_031.jpeg,cond3,present,absent,3,Green-outlined circle with a gray checkerboard pattern.
exp2_032.jpeg,cond3,present,absent,4,red-outlined striped triangle
exp2_033.jpeg,cond1,absent,absent,3,green-outlined striped star
exp2_034.jpeg,cond4,present,present,4,Square with gray dots and a light border.
exp2_035.jpeg,cond4,present,present,3,
exp2_036.jpeg,cond2,absent,present,4,green star with dots
exp2_037.jpeg,cond3,present,absent,3,
exp2_038.jpeg,cond3,present,absent,2,the gray vertically striped circle
exp2_039.jpeg,cond4,present,present,4,
exp2_040.jpeg,cond1,absent,absent,4,
exp2_041.jpeg,cond4,present,present,2,gray dotted circle with red border
exp2_042.jpeg,cond1,absent,absent,3,red-outlined wavy circle
exp2_043.jpeg,cond2,absent,present,4,green star with wavy gray lines inside
exp2_044.jpeg,cond3,present,absent,3,gray dotted square without green border
exp2_045.jpeg,cond1,absent,absent,2,striped triangle
exp2_046.jpeg,cond2,absent,present,4,red wavy star
exp2_047.jpeg,cond4,present,present,3,square with vertical stripes
exp2_048.jpeg,cond2,absent,present,3,striped square with a red border
exp2_049.jpeg,cond4,present,present,3,green‑framed striped square
exp2_050.jpeg,cond3,present,absent,3,the striped star next to the dotted circle
exp2_051.jpeg,cond1,absent,absent,3,
exp2_052.jpeg,cond3,present,absent,3,
exp2_053.jpeg,cond1,absent,absent,3,red triangle with vertical stripes
exp2_054.jpeg,cond2,absent,present,4,checkered triangle
exp2_055.jpeg,cond1,absent,absent,2,the blue-outlined triangle with gray dots inside
exp2_056.jpeg,cond2,absent,present,3,blue triangle with wavy pattern
exp2_057.jpeg,cond4,present,present,3,blue triangle with wavy stripes
exp2_058.jpeg,cond3,present,absent,2,
exp2_059.jpeg,cond3,present,absent,3,gray wavy star
exp2_060.jpeg,cond1,absent,absent,2,wavy circle
exp2_061.jpeg,cond3,present,absent,2,
exp2_062.jpeg,cond1,absent,absent,4,green dotted square
exp2_063.jpeg,cond2,absent,present,2,striped triangle
exp2_064.jpeg,cond1,absent,absent,3,red star with grey dots inside
exp2_065.jpeg,cond3,present,absent,2,
exp2_066.jpeg,cond2,absent,present,4,black‑outlined dotted circle
exp2_067.jpeg,cond4,present,present,3,
exp2_068.jpeg,cond4,present,present,4,
exp2_069.jpeg,cond2,absent,present,2,green square with dots
exp2_070.jpeg,cond1,absent,absent,4,checkerboard square
exp2_071.jpeg,cond4,present,present,3,
exp2_072.jpeg,cond3,present,absent,2,striped star
exp2_073.jpeg,cond4,present,present,2,Green-outlined star with vertical stripes.
exp2_074.jpeg,cond2,absent,present,3,the square with wavy lines
exp2_075.jpeg,cond1,absent,absent,2,red-outlined star with wavy gray pattern
exp2_076.jpeg,cond1,absent,absent,2,the green striped triangle
exp2_077.jpeg,cond3,present,absent,3,Blue-outlined circle with vertical stripes.
exp2_078.jpeg,cond4,present,present,4,red-outlined striped triangle
exp2_079.jpeg,cond2,absent,present,4,green circle with gray polka dots
exp2_080.jpeg,cond3,present,absent,3,
exp2_081.jpeg,cond2,absent,present,4,checkered triangle
exp2_082.jpeg,cond3,present,absent,2,
exp2_083.jpeg,cond1,absent,absent,3,dotted star
exp2_084.jpeg,cond4,present,present,4,wavy circle with black border
exp2_085.jpeg,cond3,present,absent,2,
exp2_086.jpeg,cond4,present,present,3,black-outlined star with polka dots
exp2_087.jpeg,cond2,absent,present,3,checkerboard star
exp2_088.jpeg,cond1,absent,absent,4,
exp2_089.jpeg,cond3,present,absent,4,
exp2_090.jpeg,cond3,present,absent,3,d
exp2_091.jpeg,cond1,absent,absent,3,wavy square
exp2_092.jpeg,cond2,absent,present,3,red dotted triangle
exp2_093.jpeg,cond4,present,present,3,
exp2_094.jpeg,cond2,absent,present,4,
exp2_095.jpeg,cond1,absent,absent,2,blue-outlined circle with gray polka dots
exp2_096.jpeg,cond4,present,present,4,green dotted star
exp2_097.jpeg,cond3,present,absent,3,The vertical gray-striped rectangle.
exp2_098.jpeg,cond1,absent,absent,2,blue-outlined square with vertical gray stripes
exp2_099.jpeg,cond2,absent,present,3,green circle with wavy stripes
exp2_100.jpeg,cond4,present,present,2,gray polka‑dot square
exp2_101.jpeg,cond4,present,present,2,green circle with a checkerboard pattern
exp2_102.jpeg,cond1,absent,absent,4,
exp2_103.jpeg,cond3,present,absent,2,the gray dotted square
exp2_104.jpeg,cond2,absent,present,2,striped circle
exp2_105.jpeg,cond4,present,present,3,dotted triangle
exp2_106.jpeg,cond4,present,present,4,Green triangle with dots
exp2_107.jpeg,cond1,absent,absent,4,red wavy triangle
exp2_108.jpeg,cond3,present,absent,4,the gray wavy square
exp2_109.jpeg,cond3,present,absent,2,the dotted triangle
exp2_110.jpeg,cond2,absent,present,2,green triangle with gray dots
exp2_111.jpeg,cond1,absent,absent,4,
exp2_112.jpeg,cond2,absent,present,4,the circle with wavy stripes
exp2_113.jpeg,cond3,present,absent,2,pink-bordered wavy circle
exp2_114.jpeg,cond1,absent,absent,2,wavy gray square
exp2_115.jpeg,cond2,absent,present,4,green dotted triangle
exp2_116.jpeg,cond3,present,absent,2,
exp2_117.jpeg,cond4,present,present,2,gray wavy star with black outline
exp2_118.jpeg,cond2,absent,present,3,polka-dot star
exp2_119.jpeg,cond1,absent,absent,4,dotted triangle
exp2_120.jpeg,cond4,present,present,3,gray vertical stripes
