image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",['The triangle with vertical stripes.']
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",['The checkered pattern.']
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",['The circle with the wavy pattern.']
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",['The checkered square in the bottom-right corner.']
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",['The wavy patterned square.']
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",['The circle with a black border and checkerboard pattern.']
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",['The circle with the red border.']
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",['The triangle with vertical stripes.']
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",['The circle with the wavy pattern.']
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",['The striped rectangle.']
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",['The wavy patterned square.']
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",['The triangle with the wavy pattern.']
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",['The square with the checkerboard pattern inside a black border.']
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",['The star with a checkerboard pattern inside.']
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",['The green triangle with gray dots.']
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",['The green square with dots.']
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",['The green star with vertical stripes.']
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",['The blue star with gray dots.']
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",['The triangle with the wavy pattern and blue border.']
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",['The triangle with the polka dot pattern.']
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",['The red triangle with vertical stripes.']
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",['The square with vertical stripes.']
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",['The green circle with gray dots.']
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",['The green triangle with vertical stripes.']
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",['The star with a blue outline and gray dots inside.']
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",['The star with the checkerboard pattern.']
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",['The star.']
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",['The blue triangle.']
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",['The circle with the wavy pattern.']
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",['The circle with the wavy pattern.']
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",['The checkered circle.']
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",['the triangle']
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",['The star with stripes.']
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",['The square with gray dots.']
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",['The star with the black outline.']
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",['The green star with a dot pattern.']
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1",['The triangle with wavy lines.']
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3",['The striped circle.']
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",['The triangle with a blue border and a gray wavy pattern.']
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",['The blue-bordered square with vertical stripes.']
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",['The circle with a thin red border.']
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",['The circle with the wavy pattern.']
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",['The star with the wavy pattern.']
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3",['The target is the square with gray dots.']
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",['The triangle.']
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",['The star with a red border and wavy pattern.']
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",['The striped pattern.']
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3",['The striped square with the red border.']
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",['The striped rectangle with the green border.']
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3",['The star.']
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",['The triangle with wavy gray and white stripes.']
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1",['The triangle with a checkerboard pattern.']
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",['The triangle with vertical stripes.']
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",['The triangle with the checkerboard pattern.']
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3",['the blue triangle with dots']
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2",['The blue triangle with a wavy pattern.']
exp2_057.jpeg,cond4,present,present,3,"triangle, triangular",blue,"wavy, zigzag","3,1",['The triangle with the wavy pattern.']
exp2_058.jpeg,cond3,present,absent,2,"circle, circular",green,dot,"3,3",['the green circle with gray dots']
exp2_059.jpeg,cond3,present,absent,3,star,black,"wavy, zigzag","2,1",['The star with wavy gray pattern.']
exp2_060.jpeg,cond1,absent,absent,2,"circle, circular",red,"wavy, zigzag","2,1",['The circle with the wavy pattern.']
exp2_061.jpeg,cond3,present,absent,2,star,green,stripe,"2,1",['The green star with gray stripes.']
exp2_062.jpeg,cond1,absent,absent,4,square,green,dot,"2,3",['The green square with a dotted pattern.']
exp2_063.jpeg,cond2,absent,present,2,"triangle, triangular",red,stripe,"3,2",['The triangle with vertical stripes.']
exp2_064.jpeg,cond1,absent,absent,3,star,red,dot,"1,2","['The star with a dotted pattern inside, outlined in red, and surrounded by a dashed red box.']"
exp2_065.jpeg,cond3,present,absent,2,square,blue,checker,"3,2",['The checkered square.']
exp2_066.jpeg,cond2,absent,present,4,"circle, circular",black,dot,"1,1",['The circle with dots.']
exp2_067.jpeg,cond4,present,present,3,square,blue,"wavy, zigzag","2,1",['The wavy pattern inside the blue border.']
exp2_068.jpeg,cond4,present,present,4,star,black,stripe,"2,1",['The star with vertical stripes.']
exp2_069.jpeg,cond2,absent,present,2,square,green,dot,"1,1",['The green-bordered square with gray dots.']
exp2_070.jpeg,cond1,absent,absent,4,square,green,checker,"1,3",['The square with the checkerboard pattern.']
exp2_071.jpeg,cond4,present,present,3,square,black,checker,"1,2",['The checkered pattern in the dashed red box.']
exp2_072.jpeg,cond3,present,absent,2,star,black,stripe,"3,2",['The star.']
exp2_073.jpeg,cond4,present,present,2,star,green,stripe,"3,2",['The green star with vertical stripes.']
exp2_074.jpeg,cond2,absent,present,3,square,black,"wavy, zigzag","1,3",['The wavy patterned square.']
exp2_075.jpeg,cond1,absent,absent,2,star,red,"wavy, zigzag","3,2",['The star with a wavy pattern inside.']
exp2_076.jpeg,cond1,absent,absent,2,"triangle, triangular",green,stripe,"1,3",['The triangle with vertical stripes.']
exp2_077.jpeg,cond3,present,absent,3,"circle, circular",blue,stripe,"1,3",['The circle with vertical stripes.']
exp2_078.jpeg,cond4,present,present,4,"triangle, triangular",red,stripe,"2,1",['The triangle with vertical stripes.']
exp2_079.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",['the green circle with gray dots']
exp2_080.jpeg,cond3,present,absent,3,"triangle, triangular",blue,dot,"2,3",['The triangle with a dotted pattern.']
exp2_081.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",['The triangle with the checkerboard pattern.']
exp2_082.jpeg,cond3,present,absent,2,"triangle, triangular",green,stripe,"2,1",['The green triangle with vertical stripes.']
exp2_083.jpeg,cond1,absent,absent,3,star,red,dot,"3,3",['The star with a dotted pattern.']
exp2_084.jpeg,cond4,present,present,4,"circle, circular",black,"wavy, zigzag","2,1",['The circle with the black border.']
exp2_085.jpeg,cond3,present,absent,2,"triangle, triangular",green,"wavy, zigzag","1,2",['the green triangle with wavy pattern']
exp2_086.jpeg,cond4,present,present,3,star,black,dot,"2,3",['The black star with gray dots.']
exp2_087.jpeg,cond2,absent,present,3,star,black,checker,"1,2",['The star with a checkerboard pattern.']
exp2_088.jpeg,cond1,absent,absent,4,"circle, circular",red,checker,"3,2",['The circle with a checkered pattern.']
exp2_089.jpeg,cond3,present,absent,4,square,black,dot,"3,3","['The grid has a pattern: each row and column contains one of each type of object — a star with a checkerboard pattern, a star with stripes, and a grid of dots. The bottom-right corner is highlighted as the target. The top-right and middle-left cells are hidden behind red curtains with question marks. You need to select the object that completes the pattern in the top-right and middle-left positions, which are currently hidden. The target is the grid of dots.']"
exp2_090.jpeg,cond3,present,absent,3,"triangle, triangular",green,dot,"3,2",['The green triangle with gray dots.']
exp2_091.jpeg,cond1,absent,absent,3,square,black,"wavy, zigzag","2,1",['The square with the wavy pattern.']
exp2_092.jpeg,cond2,absent,present,3,"triangle, triangular",red,dot,"1,3",['The triangle with the dot pattern.']
