image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","select the **triangle** that has **vertical gray stripes inside** (not the wavy pattern), outlined with a thick black border.","**Describing target object**

I need to describe the target object without using spatial references. Okay, so I have a grid that's 3x3. The visible objects include a middle-left triangle which has a wavy fill and a middle-right star with the same pattern, but for the bottom-right triangle, it features vertical gray stripes — that’s the target! I should make sure to highlight the outline as a thick black while avoiding any mention of wavy patterns.","['triangle', 'triangular']",['stripe'],True,True,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","select the square tile showing a gray-and-white checkerboard pattern, framed by a thick blue border.","**Identifying target features**

I need to create a descriptive expression for the target object that's highlighted by a dashed red box. It has a unique appearance: checkered gray and white squares with a blue border. I should focus on its distinctive features without using any spatial references. I'm also considering other items accompanying it, such as one with a star-dotted design, another with a wavy pattern and a green border, and two unspecified curtains.",['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",select the **round circle icon** with a **reddish outline** and a **gray-and-white wavy (zigzag) pattern** filling the inside.,"**Describing target object**

I need to find a good way to refer to the object that's in the dashed red box. It's a circle with a red outline and a grey/white wavy pattern. I want to avoid any spatial references. Instead, I could just mention that it’s the only circle among the various objects. This should make it clear what I'm referring to without causing any confusion. I'll go ahead and provide that to others!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",select the **square/rectangular tile with a blue border that’s filled with a gray-and-white checkerboard pattern**.,"**Describing visual elements**

I need to describe the target as a checkerboard square with a blue border without using spatial coordinates. I’ll mention it clearly as a square or rectangle featuring a grey and white check pattern, outlined in blue. Instead of saying ""bottom right,"" I'll refer to it simply as the ""blue-framed checkerboard square."" I also want to include different objects, like a triangle with polka dots, a green star with polka dots, and a blue star with stripes.",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **blue-outlined square** that has a **gray-and-white wavy (zigzag) pattern** filling the inside.,"**Describing a target shape**

I need to describe my target accurately. It’s a square with a blue frame and this neat wavy gray and white pattern inside. I want to avoid overly descriptive spatial terms, so I’ll just say it that way. I’ll also mention other shapes like the triangle with a checkered pattern, a square with a red checkered border, and a star with stripes. It's important to provide a unique description for clarity!",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that has a **gray-and-white checkerboard pattern inside** (not the red-outlined circle with wavy stripes).,"**Providing shape descriptions**

I need to describe a circle that has a black outline and a checkerboard fill. It's important to clarify that the description shouldn't relate to its spatial position. Also, there's another circle to mention, which is red with a wavy outline. So, I should specify that I'm focusing on the black-bordered circle with a checkerboard interior to ensure everything is clear and understood! This should help avoid any confusion.","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the **striped circle with the red outline** (the other visible striped circle has a blue outline).,"**Describing grid layout**

I need to create a referential description for what looks like a grid with three columns and three rows. The top row is empty, the middle row features a curtain with a question mark on the left and right while the center remains empty. The bottom row has two circles: a left circle with a red outline and vertical grey stripes (the target) and a right circle with a blue outline and vertical grey stripes. I should specify to select the red-bordered circle.","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **blue-outlined triangle** that’s filled with **vertical gray stripes** (not the wavy-pattern shapes or the star/circle).,"**Describing the target object**

I need to provide a clear description of the target object's features: it has a dashed red box surrounding it, and it's a blue triangle with vertical gray stripes inside. I want to avoid any spatial references. I'll also mention other objects in the scene, such as squares with a wavy pattern and shapes like stars and circles for context. That should help give a complete picture!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the **circle with a red outline** that’s filled with **gray-and-white wavy (zigzag) stripes**.,"**Crafting a unique description**

I'm looking to create a referential description that avoids any spatial references like ""top-left."" Instead, I’ll focus solely on visible objects. There’s a prominent wavy circle adorned with a red outline and a gray wavy stripe pattern, paired with a polka dot circle nearby. I should also include that there are two hidden curtains, even though they’re not directly visible. This way, I'll create a vivid yet non-spatial description that captures everything essential.","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",select the tile that shows a **square “barcode-like” pattern**: **vertical light and dark gray stripes** inside a **thick red square frame**.,"**Describing target objects**

I need some clear instructions to select the target object. The highlighted tile is a square with vertical gray stripes inside a thick red border. To clarify, it looks a bit like a barcode. There's also a tile with polka dots, some of which are hidden behind curtains. I’ll make sure to provide a detailed description so that there’s no confusion! Let's try to get this right for better understanding.",['square'],['stripe'],True,True,True
