image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture
exp2_001.jpeg,cond2,absent,present,2,the triangle that has vertical stripes.,2,yes,,yes
exp2_002.jpeg,cond4,present,present,4,the square with the checkerboard pattern.,2,yes,,yes
exp2_003.jpeg,cond3,present,absent,4,the circle that has a red border and is filled with wavy lines.,3,yes,yes,yes
exp2_004.jpeg,cond1,absent,absent,3,the square that has a grey and white checkerboard pattern inside.,2,yes,,yes
exp2_005.jpeg,cond2,absent,present,3,The square with the blue border and the wavy pattern inside.,3,yes,yes,yes
exp2_006.jpeg,cond2,absent,present,4,The circle with the checkerboard pattern.,2,yes,no,yes
exp2_007.jpeg,cond4,present,present,3,The circle with the red border.,2,yes,yes,
exp2_008.jpeg,cond1,absent,absent,4,the object with the vertical stripes.,1,,,yes
exp2_009.jpeg,cond4,present,present,2,the circle that has wavy lines inside it.,2,yes,,yes
exp2_010.jpeg,cond3,present,absent,3,the square with the vertical grey stripes and a red border.,3,yes,yes,yes
exp2_011.jpeg,cond4,present,present,2,the square with the wavy gray and white pattern inside a black border.,3,yes,yes,yes
exp2_012.jpeg,cond1,absent,absent,4,the triangle with the wavy pattern inside.,2,yes,,yes
exp2_013.jpeg,cond2,absent,present,2,the square that is filled with grey dots.,2,yes,,yes
exp2_014.jpeg,cond2,absent,present,4,The object is a star with a red outline and a checkerboard pattern inside.,3,yes,yes,yes
exp2_015.jpeg,cond4,present,present,2,The triangle with the green outline is filled with gray dots.,3,yes,yes,yes
exp2_016.jpeg,cond1,absent,absent,2,The square filled with polka dots.,2,yes,,yes
exp2_017.jpeg,cond3,present,absent,4,The object is a green star that has vertical stripes inside.,3,yes,yes,yes
exp2_018.jpeg,cond3,present,absent,3,a five-pointed star with a blue outline and a gray polka dot pattern on the inside.,3,yes,yes,yes
exp2_019.jpeg,cond4,present,present,3,the triangle that has a red outline and is filled with gray dots.,3,yes,yes,yes
exp2_020.jpeg,cond4,present,present,3,the triangle that is filled with grey dots.,2,yes,,yes
exp2_021.jpeg,cond1,absent,absent,3,the triangle.,1,yes,,
exp2_022.jpeg,cond1,absent,absent,4,the square filled with vertical stripes.,2,yes,,yes
exp2_023.jpeg,cond2,absent,present,4,The circle with the green outline and grey dots inside.,3,yes,yes,yes
exp2_024.jpeg,cond2,absent,present,2,The triangle with the green outline and vertical stripes inside.,3,yes,yes,yes
exp2_025.jpeg,cond3,present,absent,2,the star with the blue outline that is filled with gray dots.,3,yes,yes,yes
exp2_026.jpeg,cond4,present,present,2,The star with the checkerboard pattern.,2,yes,,yes
exp2_027.jpeg,cond3,present,absent,2,the star with a blue outline and a checkerboard pattern inside.,3,yes,yes,yes
exp2_028.jpeg,cond2,absent,present,3,The blue triangle.,2,yes,yes,
exp2_029.jpeg,cond1,absent,absent,4,the circle with the red outline and a grey wavy pattern inside.,3,yes,yes,yes
exp2_030.jpeg,cond2,absent,present,3,the circle with the green outline and a wavy pattern inside.,3,yes,yes,yes
exp2_031.jpeg,cond3,present,absent,3,the circle with the checkerboard pattern inside.,2,yes,,yes
exp2_032.jpeg,cond3,present,absent,4,the red triangle filled with vertical gray stripes.,3,yes,yes,yes
exp2_033.jpeg,cond1,absent,absent,3,the star with the vertical stripes.,2,yes,,yes
exp2_034.jpeg,cond4,present,present,4,the square filled with grey dots that doesn't have a black border.,3,yes,yes,yes
exp2_035.jpeg,cond4,present,present,3,The star with the black outline.,2,yes,yes,
exp2_036.jpeg,cond2,absent,present,4,The star with the green outline is filled with dots.,3,yes,yes,yes
exp2_037.jpeg,cond3,present,absent,3,the triangle that has a thick black outline and is filled with a gray and white wavy pattern.,3,yes,yes,yes
exp2_038.jpeg,cond3,present,absent,2,the circle that has vertical gray and white stripes.,2,yes,,yes
exp2_039.jpeg,cond4,present,present,4,the triangle that is filled with a wavy pattern.,2,yes,,yes
exp2_040.jpeg,cond1,absent,absent,4,the square filled with vertical stripes.,2,yes,,yes
exp2_041.jpeg,cond4,present,present,2,The circle with the red border.,2,yes,yes,
exp2_042.jpeg,cond1,absent,absent,3,The object with the red outline has a wavy pattern inside.,2,,yes,es
exp2_043.jpeg,cond2,absent,present,4,the green star that has wavy lines inside it.,3,yes,yes,yes
exp2_044.jpeg,cond3,present,absent,3,a square filled with grey dots.,2,yes,,yes
exp2_045.jpeg,cond1,absent,absent,2,The triangle with vertical stripes.,2,yes,,yes
exp2_046.jpeg,cond2,absent,present,4,The star with the red outline.,2,yes,yes,
exp2_047.jpeg,cond4,present,present,3,the square that is filled with vertical grey stripes.,2,yes,,yes
exp2_048.jpeg,cond2,absent,present,3,The square with the red border.,2,yes,yes,
exp2_049.jpeg,cond4,present,present,3,the square filled with vertical stripes that has a green border.,3,yes,yes,yes
exp2_050.jpeg,cond3,present,absent,3,the star that has a red outline and is filled with vertical stripes.,3,yes,yes,yes
exp2_051.jpeg,cond1,absent,absent,3,The triangle with the wavy pattern inside.,2,yes,,yes
exp2_052.jpeg,cond3,present,absent,3,a triangle with a checkerboard pattern inside.,2,yes,,yes
exp2_053.jpeg,cond1,absent,absent,3,the triangle that is filled with vertical stripes.,2,yes,,yes
exp2_054.jpeg,cond2,absent,present,4,The object with the checkerboard pattern.,1,,,yes
exp2_055.jpeg,cond1,absent,absent,2,The object is a triangle filled with a pattern of dots.,2,yes,,yes
exp2_056.jpeg,cond2,absent,present,3,the triangle that has a blue outline.,2,yes,yes,
exp2_057.jpeg,cond4,present,present,3,the triangle filled with wavy lines.,2,yes,,yes
exp2_058.jpeg,cond3,present,absent,2,"The object is a circle with a green outline, filled with a pattern of grey dots.",3,yes,yes,yes
