image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought_summary,listener_answer_correct,listener_answer_note
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",the target object is the triangle with vertical grey stripes inside.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the checkerboard pattern outlined in blue.,,['square'],['checker'],FALSE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","the target object is a circle filled with a wavy pattern, enclosed within a red dashed border.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",the target is the square with a blue border and a grey and white checkerboard pattern inside.,,['square'],['checker'],TRUE,TRUE,TRUE,"Column 3, Row 3",,TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3","the target is the square filled with wavy horizontal grey lines, outlined in blue.",,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 2, row 3",,TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",the target is the black-bordered circle with a gray and white checkerboard pattern inside.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"Column 2, row 1",,TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the circle with the red outline.,,"['circle', 'circular']",['stripe'],TRUE,TRUE,FALSE,"Column 1, Row 3",,TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",choose the triangle with vertical stripes and a blue outline.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"Column 3, Row 1",,TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",the target is the circle filled with a grey and white horizontal wavy pattern.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,FALSE,TRUE,"Column 1, Row 1",,TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","the target object is the square containing vertical grey stripes, which is framed by a solid red border.",,['square'],['stripe'],TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",please select the square that contains a gray and white horizontal wavy pattern.,,['square'],"['wavy', 'zigzag']",TRUE,FALSE,TRUE,"Column 1, Row 3",,TRUE,
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",the target object is the triangle with wavy lines inside.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,FALSE,TRUE,"Column 2, row 3",,TRUE,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","the target object is the square filled with small dots, surrounded by a red border.",,['square'],['dot'],TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",the target object is the star with a red border and a grey checkered pattern inside.,,['star'],['checker'],TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",the target is the green-outlined triangle filled with a grey polka-dot pattern.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",the target is the square with a green border and a dotted pattern inside.,,['square'],['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",the target object is a green-outlined star with a gray vertical-striped pattern inside. it is surrounded by a red dashed square.,,['star'],['stripe'],TRUE,TRUE,TRUE,"Column 2, Row 3",,TRUE,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",the target object is a five-pointed star with a blue outline and a grey dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"Column 1, Row 1",,TRUE,
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",the target is the triangle with a red border and a grey dotted pattern.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"Column 2, Row 1",,TRUE,
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",the target is the triangle with a gray polka-dot pattern.,,"['triangle', 'triangular']",['dot'],TRUE,FALSE,TRUE,"Column 1, Row 1",,TRUE,
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",the target object is the triangle with vertical grey stripes and a red outline.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"Column 1, Row 2",,TRUE,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",the target is the square with vertical gray stripes and a thick black border.,,['square'],['stripe'],TRUE,TRUE,TRUE,"Column 3, Row 1",,TRUE,
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",the target is the circle with a green border and a dotted pattern inside.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",the target is the vertically-striped triangle with a green border.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"Column 1, Row 2",,TRUE,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",selection the five-pointed star with a blue outline and grey dots inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",the target is the star with a checkered pattern inside.,,['star'],['checker'],TRUE,FALSE,TRUE,"Column 1, Row 1",,TRUE,
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",the target object is a five-pointed star with a blue outline and a grey and white checkered pattern inside.,,['star'],['checker'],TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",select the blue-outlined triangle filled with gray dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"Column 1, Row 1",,TRUE,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",the target is a circle with a red border and a wavy pattern inside.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",the target object is the green-bordered circle containing a grey and white wavy pattern.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",the target object is a circle with a green border and a grey-and-white checkered pattern inside.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"Column 2, Row 1",,TRUE,
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3","please select the triangle with vertical grey and white stripes, outlined in red.",,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",the target object is the green-outlined star with a gray vertical striped pattern inside.,,['star'],['stripe'],TRUE,TRUE,TRUE,"Column 3, Row 3",,TRUE,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",select the square with gray dots and a red border.,,['square'],['dot'],TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",select the star with the black outline.,,['star'],['dot'],TRUE,TRUE,FALSE,"3, 2",,TRUE,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",select the star that has a green outline and a polka-dot pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"Column 2, Row 1",,TRUE,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1",selection: the triangle with horizontal wavy lines.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,FALSE,TRUE,"Column 1, Row 1",,TRUE,
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3","please select the object with the vertical grey and white stripes, which is contained within a circle.",,"['circle', 'circular']",['stripe'],TRUE,FALSE,TRUE,"Column 3, Row 3",,TRUE,
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",select the triangle with the wavy line pattern.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,FALSE,TRUE,"3, 1",,TRUE,
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",the target is the square with a blue border and a gray-and-white vertical striped pattern inside.,,['square'],['stripe'],TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",the target is the circle with a red outline and grey dots inside.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"Column 3, Row 1",,TRUE,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",the target object is the circle with a wavy grey pattern and a red border.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 3, Row 3",,TRUE,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",the target object is the star with a green outline and horizontal wavy grey lines inside.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 1, Row 1",,TRUE,
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3",select the square containing a pattern of small grey dots arranged in a grid.,,['square'],['dot'],TRUE,FALSE,TRUE,"Column 1, Row 3",,TRUE,
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",the target object is the triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"Column 2, Row 1",,TRUE,
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",the target object is the star shape with a red outline and a wavy gray-and-white pattern inside.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 2, Row 1",,TRUE,
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",the target object is the square with vertical gray stripes and a green border.,,['square'],['stripe'],TRUE,TRUE,TRUE,"Column 1, Row 3",,TRUE,
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3","the target object is the square with vertical gray and white stripes, outlined in red, and surrounded by a dashed red box.",,['square'],['stripe'],TRUE,TRUE,TRUE,"Column 3, Row 3",,TRUE,
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",the target is the square with vertical grey and white stripes and a green border.,,['square'],['stripe'],TRUE,TRUE,TRUE,"Column 1, Row 1",,TRUE,
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3",please select the star that has grey vertical stripes and a red outline.,,['star'],['stripe'],TRUE,TRUE,TRUE,"Column 2, Row 3",,TRUE,
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",the target is the triangle with a wavy horizontal pattern and a thick black outline.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 2, Row 3",,TRUE,
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1",the target is the checkered triangle.,,"['triangle', 'triangular']",['checker'],TRUE,FALSE,TRUE,"Column 2, Row 1",,TRUE,
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",the target is the triangle with vertical gray stripes and a red outline.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"Column 1, Row 1",,TRUE,
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",the target is the triangle with a green outline and a checkerboard pattern inside.,,"['triangle', 'triangular']",['checker'],TRUE,TRUE,TRUE,"Column 2, Row 1",,TRUE,
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3","the target object is a triangle with a blue outline, filled with a grey polka-dot pattern.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2",select the blue-outlined triangle with the wavy horizontal pattern.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"Column 3, Row 2",,TRUE,
