image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought,listener_answer_correct,listener_answer_note
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",pick the triangle with vertical stripes.,none,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3",none,TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",pick the gray-and-white checkerboard pattern.,none,['square'],['checker'],FALSE,FALSE,TRUE,"3,2",none,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",pick the grey circle with the wavy pattern and a red outline.,none,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1,3",none,TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",pick the blue square with a gray-and-white checkerboard pattern.,none,['square'],['checker'],TRUE,TRUE,TRUE,"3,3",none,TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",pick the gray square with the wavy pattern and blue border.,none,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2,3",none,TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the gray checkerboard circle with a black outline.,none,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2, 1",none,TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",pick the striped circle with the red outline.,none,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"1, 3",none,TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",pick the blue-outlined triangle with vertical gray stripes inside.,none,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3,1",none,TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the gray circle with the wavy zigzag pattern and the red outline.,none,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1,1",none,TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",pick the picture with vertical grey and white stripes inside a red square frame.,none,['square'],['stripe'],TRUE,TRUE,TRUE,"3,2",none,TRUE,
