image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,listener_answer,listener_thought,listener_answer_correct,listener_answer_note
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Pick the triangle with vertical stripes.,none,"3,3",none,TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","Pick the grey-and-white checkerboard pattern, outlined in blue.",none,"3,2",none,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Pick the grey circle with the wavy pattern and a coral-red outline.,none,"1, 3",none,TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Pick the blue-bordered square with a grey-and-white checkerboard fill.,none,"3, 3",none,TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Pick the blue-outlined square that has a gray wavy pattern inside.,none,"2,3",none,TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Pick the grey checkered circle with a black outline.,none,"2,1",none,TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Pick the gray-and-white striped circle with the red outline.,none,"1, 3",none,TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Pick the grey triangle with vertical stripes and a blue outline.,none,"3,1",none,TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Pick the circle with the gray wavy-line pattern and a red outline.,none,"1,1",none,TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Pick the picture with vertical gray and white stripes inside a red square frame.,none,"3,2",none,TRUE,
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","Choose the gray square with the wavy, curved horizontal stripes (not the one with straight vertical stripes).",none,"1,3",none,TRUE,
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",Pick the gray wavy triangle.,none,"2, 3",none,TRUE,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",Select the light gray square filled with evenly spaced gray dots.,none,"3, 2",none,TRUE,
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",Pick the red-outlined star with the checkerboard pattern inside.,none,"3, 2",none,TRUE,
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",Pick the triangle with a green border and a gray polka‑dot pattern inside.,none,"3,2",none,TRUE,
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",Select the square with the gray polka-dot pattern.,none,"2, 3",none,TRUE,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",Pick the green star outline with vertical gray stripes inside.,none,"2,3",none,TRUE,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",Pick the outlined blue star with the gray polka dots.,none,"1,1",none,TRUE,
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",the triangle with the red outline and dotted interior pattern,none,"2,1",none,TRUE,
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",Select the triangle that has small dots inside it.,none,"1,1",none,TRUE,
