image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","Select the **upright triangle with a thick black outline that’s filled with vertical gray stripes** (not the triangle with wavy lines, and not the wavy-lined star).","**Describing triangle design**

I need to focus on the target object, which is a triangle that has vertical stripes. I want to make sure I mention that it's an upright triangle with a black outline filled with vertical gray stripes. I should avoid anything spatial in this description. Also, there's the wavy triangle and a wavy star to consider, but my main goal is to provide a clear description of that distinct triangle first."
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the tile showing a gray-and-white checkerboard pattern (like a chessboard) with a thick blue frame around it.,"**Describing a pattern**

I'm focusing on how to describe a checkered pattern with a blue border. I'll make sure to mention that it's non-spatial, emphasizing that the colors define the design. The gray and white checkerboard design is really important to include, as it adds to the visual appeal! It's interesting how color choices can change the overall impression of such a simple geometric design. Let’s get these details right to create a vivid image!"
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","Select the **round emblem**: a **gray circle filled with repeating white wavy lines**, outlined by a **reddish ring**.",none
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3","Select the object that is a **gray-and-white checkerboard square**, framed with a **thick blue border** (it looks like a chessboard pattern inside a blue-outlined square).","**Describing target pattern**

I need to describe a checkerboard square with a blue border. I'll focus on the patterns within the square itself, like alternating colors or any distinct designs. It's important to steer clear of spatial descriptions since that's not what I want to emphasize here. I want to get this right so the details capture the essence of the checkerboard without getting lost in how it's laid out. Let's make sure that's clear!"
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square tile with a thick blue border** that’s filled with **repeating gray-and-white wavy (zigzag) horizontal lines**.,"**Describing the target square**

I need to describe a specific target: it's a square with a blue border and a wavy gray pattern inside. I should avoid using spatial terms, so I'll focus on the details. It’s a blue-bordered square that’s filled with these flowing, wavy lines, creating a visually appealing design. I want to make sure I'm capturing its essence accurately without getting caught up in directional language."
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with a thick black outline** that has a **gray-and-white checkerboard pattern inside**.,"**Describing the target shape**

I need to describe the target shape, which is a circle with a thick black border. Inside, it has a gray-white checkerboard fill. I should avoid mentioning its position, focusing instead on the circular shape and the distinct pattern inside. It’s essential to keep the description clear and straightforward to give a good visual without getting into the specifics of where it’s positioned. This keeps the focus purely on the design elements!"
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the circle filled with vertical gray stripes that has a **red outline** (not the blue-outlined striped circle).,"I'm considering how to describe the target in a clear and engaging way. It's a bottom left circle, marked with a red outline, which really stands out. The grey vertical stripes inside add an interesting pattern. I want to convey this non-spatially, focusing on its visual elements without implying any specific location context. I’ll aim to be precise in capturing its essence while keeping it relatable for the user. Let's explore the best way to phrase this!"
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1","Select the **upright triangle with a thick blue outline**, filled with **vertical gray stripes**.","**Describing the triangle**

I'm focusing on a target that’s a blue outlined triangle. Inside, it has vertical gray stripes, which adds some interesting detail. I want to ensure I mention these specific features clearly without getting distracted by anything else. It’s important to keep the description simple and focused on visual characteristics so that whoever is reading can easily picture it in their mind. I'll make sure to stick to just what’s necessary!"
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Select the circle with a **red outline** that’s filled with **gray-and-white wavy zigzag stripes** (not the dotted one).,"**Describing target design**

I need to refer to a target featuring a circle with a wavy gray and white pattern and a red border. I want to make sure I'm describing it clearly without mentioning its specific position. The wavy design seems interesting, and the contrasting colors might make it visually striking. It feels important to get these details right so the user can understand what I'm talking about. Let's proceed with that in mind!"
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","Select the square tile that shows **vertical gray-and-white stripes**, like a barcode pattern, **inside a reddish border/frame**.","**Describing the target**

I'm focusing on how to describe the target effectively. It’s a square shape with vertical gray stripes inside a red border. I want to make sure I highlight the pattern clearly: vertical stripes that are gray or white, all set within that red frame. It's important to keep the description straightforward and avoid any spatial complexities. Let's make it clear and concise for easy understanding!"
