image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture,listener_question,listener_answer,listener_answer_correct
exp2_001.jpeg,cond2,absent,present,2,striped triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_002.jpeg,cond4,present,present,4,gray checkerboard pattern,1,no,no,yes,Imagine someone is talking to you and tells you 'gray checkerboard pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,3 2,yes
exp2_003.jpeg,cond3,present,absent,4,the wavy gray circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the wavy gray circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_004.jpeg,cond1,absent,absent,3,blue-bordered gray checkerboard,2,no,yes,yes,Imagine someone is talking to you and tells you 'blue-bordered gray checkerboard' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_005.jpeg,cond2,absent,present,3,blue-outlined wavy square,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined wavy square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_006.jpeg,cond2,absent,present,4,gray checkerboard circle with black outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'gray checkerboard circle with black outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_007.jpeg,cond4,present,present,3,Gray vertical stripes with a red circle border.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Gray vertical stripes with a red circle border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_008.jpeg,cond1,absent,absent,4,blue triangle with vertical stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue triangle with vertical stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_009.jpeg,cond4,present,present,2,wavy gray circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'wavy gray circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_010.jpeg,cond3,present,absent,3,the grey vertical stripes in a red square,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the grey vertical stripes in a red square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_011.jpeg,cond4,present,present,2,wavy gray lines,1,no,no,yes,Imagine someone is talking to you and tells you 'wavy gray lines' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_012.jpeg,cond1,absent,absent,4,wavy triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'wavy triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_013.jpeg,cond2,absent,present,2,gray polka-dot square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray polka-dot square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 2",yes
