image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",select the **upright triangle** with a **thick black outline** that’s filled with **vertical gray stripes** (not the wavy-pattern triangle or the wavy-pattern star).,"**Describing patterns**

I need a clear description that avoids spatial references. So I’ll focus on the patterns in the grid: there's a triangle with a wavy pattern and a star with a wavy pattern, but the target is an upright triangle featuring vertical grey stripes and a thick black outline. It’s important to emphasize that I’m contrasting a striped triangle with the wavy patterns around it. This detail should help clarify the differences visually!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","select the square image that looks like a gray-and-white checkerboard (alternating squares), framed with a thick blue border.","**Describing target object**

I need to describe the target object, which is a checkerboard pattern in grey and white with a blue border. I’ll stick to non-spatial language for clarity and mention other design options like stars, wavy lines, or curtains. My goal is to make sure the description is concise and effective, ensuring the user gets a clear idea of the object's look while being open to alternatives. Let’s keep it simple!",['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","select the **round circle/badge** with a **red outline** and a **gray interior filled with white wavy zigzag stripes** (not a star, not a red-curtain “?” tile).","**Describing the target object**

I need to refer to a specific target object, which is located in the bottom-left cell. It's a circular gray disk that has wavy white stripes and a red outline. To provide a non-spatial description, I might say it's a circle featuring a wavy pattern. I can also mention that it draws comparisons to stars and curtains to evoke a clearer image in the user's mind.","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3","select the **square tile with a gray-and-white checkerboard pattern**, surrounded by a **thick blue border**.","**Describing the checkerboard**

I need to provide a description for a target that's a checkerboard square with a blue border. Instead of being spatial, I can say it's a ""square checkerboard with a blue frame."" I should also mention other objects around it like a triangle with polka dots and some stars. So, I’ll say something like, “Select the blue-framed gray-and-white checkerboard square.” That should capture everything well!",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **square with a thick blue border** that’s filled with **repeating gray-and-white wavy (zigzag) horizontal stripes**.,"**Describing a square design**

I need to create a descriptive reference. The target is a square located at the bottom center, framed with a blue border. It's filled with a gray and white wavy pattern. I’ll make sure to emphasize the characteristics of the square itself, mentioning the blue frame and the wavy lines within it. I want to avoid discussing the spatial aspects, just focusing on the design details that make it stand out.",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard pattern**.,"**Describing target features**

I need to describe an object without using spatial terms. I’ll focus on its features instead. For example, there’s a circle with a thick black outline and a checkerboard fill. Other shapes include a triangle with a red border and a checker pattern, a star with a blue border, and a circle with a wavy red border. I need to specifically mention the black-outlined circle with the checkerboard design.","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the circle filled with gray vertical stripes that has a **red outline** (not the similar striped circle with a blue outline).,"**Describing the target object**

I need to focus on describing the target object effectively. It's a red outlined circle with grey vertical stripes, making it visually distinct. There's also a blue outlined circle with similar stripes, so I have to be clear about the color of the border to avoid confusion. My instruction will be to pick the red-rimmed striped circle, ensuring that the user knows exactly which one I'm referring to.","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **upright triangle** with a **thick blue outline** and **vertical gray stripes** inside (no wavy pattern).,"**Describing a specific cell**

I need to describe a target without using spatial terms. The top right cell features a distinctive triangle outline in blue, filled with vertical gray stripes inside. It’s important that I emphasize its unique attributes while avoiding any language that specifies its location. I want to ensure that my description captures its standout characteristics clearly, making it easy to understand what makes this particular cell special. Let's focus on its visual design!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the **circle with a thick red outline** that’s filled with **gray-and-white wavy (zigzag) stripes**—it looks like a ripple pattern (not the circle with gray polka dots and a black outline).,"**Clarifying game description**

I need to craft a game description, but I can't use absolute spatial locations, so I should rely on relative ones instead. Saying ""top left"" isn't ideal. Instead, I can describe unique features, like a circle with a red border and wavy gray and white stripes. I could also compare it to a dotted circle with a black border. It’ll be essential to provide this clear detail to my partner!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",select the **square panel with vertical gray stripes (like a barcode) inside a reddish border**.,"**Describing target object**

I need to describe a target object for a reference in a game. There's a dashed red box around an image that looks like a square with gray vertical stripes and a red border. I want to avoid using positional terms, so I'll focus on mentioning the vertical gray stripes and the red frame instead. It's important that I keep the description concise while ensuring clarity. Let’s craft this description effectively!",['square'],['stripe'],True,True,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",select the square tile with a thick dark border that contains repeated horizontal wavy (zigzag) bands in light gray and white.,"**Describing the target object**

I need to describe a specific target object without mentioning its location. It’s a dashed red box surrounding a square tile that has a wavy horizontal pattern in gray and white. The tile is encapsulated within a black border. So, I’ll go with something like “a square tile featuring gray-and-white wavy stripes” as my main descriptive phrase. It’s essential to keep it clear and straightforward, focusing on the visual elements.",['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",select the **black-outlined triangle** that’s filled with a **gray wavy (zigzag/river-like) pattern**—not the wavy **star** and not any of the circles.,"**Describing triangle design**

I need to create a description of a non-spatial object. The target is a triangle featuring a wavy gray pattern on the inside and a black outline. Additionally, there are circles adorned with dots or stripes, but I must focus solely on the triangle and avoid mentioning the star. My goal is to succinctly describe this unique design as a black-outlined triangle filled with gray wave stripes, ensuring clarity in my description.","['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","select the **square filled with evenly spaced small gray polka dots on a white background**, outlined with a **red border** (not the checkerboard patterns).","**Providing object description**

I need to offer a clear description of the objects in the scenario. There’s a top right circle with a checker and a bottom middle square checker. The target is a middle right cell featuring a gray polka dot square enclosed within a red border. I should describe the square with small gray dots on a white background and indicate that it has a red frame. I’ll make sure to communicate this effectively!",['square'],['dot'],True,True,True
