image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","select the **triangle** that has **vertical gray stripes** inside it (not the wavy-pattern triangle, and not the star).",none,"['triangle', 'triangular']",['stripe'],True,False,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the image that looks like a gray-and-white checkerboard (alternating square grid) inside a blue frame.,none,['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","select the **gray circle filled with white wavy zigzag lines**, outlined with a **reddish ring**.",none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",select the **checkerboard-patterned square tile with a blue border** (gray-and-white checkered square).,none,['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **square with a thick blue border** that’s filled with a **gray-and-white wavy (zigzag) pattern**.,none,['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that has a **gray-and-white checkerboard pattern** inside.,none,"['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the circle filled with vertical gray stripes that has a **red outline** (not the blue-outlined one).,none,"['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **upright triangle** with a **thick blue outline** and **vertical gray stripes inside** (no wavy pattern).,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the circle filled with gray wavy zigzag lines (like a repeating ripple pattern) and outlined in red.,none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",select the tile showing a square filled with vertical gray stripes (like a barcode) inside a pinkish border.,none,['square'],['stripe'],True,False,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",select the square tile that has a gray-and-white wavy zigzag pattern (like repeating sideways “s” waves) inside a dark border.,none,['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",select the **black-outlined triangle** that’s filled with **gray wavy (zigzag) horizontal stripes**.,none,"['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",select the **square tile with many small gray dots (polka-dot pattern) and a reddish border**.,none,['square'],['dot'],True,True,True
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",select the **five-point star with a red outline** and a **gray checkered (chessboard) pattern inside**.,none,['star'],['checker'],True,True,True
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",select the triangle with a **green outline** and a **gray polka-dot (dotted) fill** (not the blue checkered one).,none,"['triangle', 'triangular']",['dot'],True,True,True
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",select the **green square** filled with **gray polka dots** (a dotted pattern).,none,['square'],['dot'],True,True,True
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",select the **green five-point star outline** that has **vertical gray stripes inside** (the striped star).,none,['star'],['stripe'],True,True,True
