image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought_summary,listener_answer_correct,listener_answer_none
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","the target is the triangle in the bottom right, which has vertical stripes.",,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",the object i'm referring to is the one with the blue border. it looks like a chessboard pattern.,,['square'],['checker'],FALSE,TRUE,FALSE,"3, 2",,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","the object is a gray circle with a wavy pattern inside, outlined by a red border.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",the target is a chessboard pattern.,,['square'],['checker'],FALSE,FALSE,FALSE,"3, 3",,TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",the object i'm referring to is the square with a blue border that contains a wavy gray and white pattern.,,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",the target is a circle with a black outline and a checkered pattern inside.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",the target is the striped circle that is outlined in red.,,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",the target is the blue triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","the target object is in the top row, left column. it's a gray circle with a wavy pattern, outlined in red.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","the object i'm referring to is the one with vertical gray and white stripes, enclosed within a solid red outline, and then a dashed red outline.",,['square'],['stripe'],FALSE,TRUE,TRUE,"3, 2",,TRUE,
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","the object is a square with a wavy pattern on a gray background, outlined in black.",,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",the target is the black triangle filled with horizontal wavy lines.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","the target object is a square with a dotted pattern, located in the middle right of the image.",,['square'],['dot'],TRUE,FALSE,TRUE,"3, 2",,TRUE,
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2","the object is a star with a checkerboard pattern inside, and a solid red outline.",,['star'],['checker'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2","the object in the middle row, right column.",,"['triangle', 'triangular']",['dot'],FALSE,FALSE,FALSE,"3, 2",,TRUE,
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",the target is the square with the green border and gray polka dots.,,['square'],['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",the target is the star with vertical stripes inside.,,['star'],['stripe'],TRUE,FALSE,TRUE,"2, 3",,TRUE,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",the object in the top left corner is a star.,,['star'],['dot'],TRUE,FALSE,FALSE,"1, 1",,TRUE,
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1","the target is the triangle in the top right, it has a red border and is filled with grey dots.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1","the object you are looking for is a triangle with a dotted pattern inside, on a white background. it's not the one with vertical stripes.",,"['triangle', 'triangular']",['dot'],TRUE,FALSE,TRUE,"1,1",,TRUE,
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",the target is the red-outlined triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1","the target is a square with a black border and vertical grey stripes, located in the top right of the grid.",,['square'],['stripe'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",the target is a green-bordered circle filled with gray dots.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",the object is a green triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",the target is the blue star with grey polka dots inside it.,,['star'],['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",the target object is a star that has a black outline and is filled with a checkerboard pattern.,,['star'],['checker'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",the target is the blue outlined star with a checkered pattern inside it.,,['star'],['checker'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",the target is the blue triangle filled with dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"1,1",,TRUE,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",the target is a circle with a red border filled with a wavy pattern.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",the target is a circle with a green outline and a wavy pattern inside.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",the target is the checkered circle in the top row.,,"['circle', 'circular']",['checker'],TRUE,FALSE,TRUE,"2, 1",,TRUE,
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",the object i'm referring to is a red outlined triangle that is filled with vertical gray stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",the target object is a green star with a striped fill.,,['star'],['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",the target is in the bottom-left corner of the grid. it's a square filled with gray dots.,,['square'],['dot'],TRUE,FALSE,TRUE,"1, 3",,TRUE,
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",the target is the black star with the dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",the target is a green star with a dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1","the image has a grid layout, and the object i want you to select is in the top left cell. it's a triangle with a black outline filled with a wavy gray pattern.",,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3","the image you're looking for is in the bottom right corner, and it's a circle with vertical gray and white stripes inside a red ring.",,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",the object i want you to select is a triangle. it has a blue border and is filled with a wavy gray pattern.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",the object is a square with a blue outline and a vertical striped pattern inside.,,['square'],['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",the target is the square with the red-outlined circle that has gray dots.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",the object in the bottom right corner of the grid is a circle with a red outline and grey wavy stripes inside.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",the target object is a green star with a wavy gray pattern inside.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3","the object i want you to select is in the bottom left corner, in the cell highlighted by the red dashed box. it's a square filled with a grid of gray dots.",,['square'],['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",the target is the triangle in the top middle cell. it has vertical stripes inside.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"2, 1",,TRUE,
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",the object is a star with a red outline and a wavy pattern inside.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",the target is the square with vertical grey stripes.,,['square'],['stripe'],TRUE,FALSE,TRUE,"1, 3",,TRUE,
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3","the object i want you to select is a square with vertical stripes, and its border is red and dashed.",,['square'],['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",the target is the vertically striped square with a green outline.,,['square'],['stripe'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3","the target is the star with vertical gray and white stripes inside, outlined in red.",,['star'],['stripe'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",the target is the triangle with a wavy fill.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,FALSE,TRUE,"2, 3",,TRUE,
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1",the target is the triangle with a checkered pattern inside.,,"['triangle', 'triangular']",['checker'],TRUE,FALSE,TRUE,"2, 1",,TRUE,
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",the top left shape is a red outlined triangle with vertical gray stripes inside.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
