image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","pick the triangle that has vertical stripes inside it (not the one with the wavy pattern, and not the star).","**Finding clear descriptions**

I’m trying to come up with a referring expression for the striped triangle that distinguishes it from the wavy triangle and wavy star. I can’t use spatial terms, so I’m thinking something like, ""the triangle with vertical stripes inside (not the wavy one)."" This should help clarify what I mean without any confusion. It seems simple, but I want to be sure it’s clear for anyone reading!","['triangle', 'triangular']",['stripe'],True,False,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the gray checkerboard pattern with the blue border.,"**Choosing a unique description**

I need to decide how to describe the target effectively. I’m focused on the gray checkerboard with a blue border compared to other options like the star, wavy design with green, or curtains. My goal is to create a brief but distinct phrase. I think something like ""the gray checkerboard pattern with a blue frame"" will work well. I want to ensure I'm not mentioning any specific location, just the pattern itself!",['square'],['checker'],False,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",pick the grey circle with a red outline and wavy white pattern inside.,"**Defining shape characteristics**

I'm thinking I need to create a clear way to describe a wavy gray circle. I want to mention its shape, the wavy lines, and the gray color with a distinct outline. I need to make sure to avoid any spatial context since that seems irrelevant here. I just want to focus on the essential characteristics that define this particular shape. It's all about conveying the right visual details!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",pick the blue-outlined square with a gray-and-white checkerboard pattern inside.,"**Describing the checkered square**

I’m thinking about how to refer to a checkered square with a blue border without using spatial descriptions. I have objects in mind: a triangle with dotted gray, a green dotted star, a blue striped star, and of course, this checkered square. The unique aspect here is that it’s the only square and the only one with a checkered pattern. I’ll need to find a way to communicate that clearly!",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the blue-outlined square with the gray wavy pattern.,"**Describing target shape**

I need to create a description for the target, which is a wavy gray square with a blue outline. It also looks like there's a top row with a triangle that has a checkered blue border and a square with a red border. In the bottom row, on the left, there's a star with a striped blue border, and in the middle, there's that wavy square. I should phrase it as ""the only blue-outlined shape that is a square with a wavy gray pattern.""",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",pick the circle with a black outline that is filled with a gray checkerboard pattern.,"**Describing the target object**

I need to refer to a specific object: it’s a checkerboard circle that has a black outline and no colored border. What’s noteworthy is that it's unique among shapes since it’s the only circle featuring this checkerboard fill paired with a black border. I’ll make sure to keep the description concise and to the point, sidestepping any spatial considerations to maintain clarity. Let’s get this right!","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the grey-and-white striped circle that has a red outline.,"**Identifying a concise description**

I need to create a clear reference for the striped circle with a red outline, specifically avoiding any spatial descriptors like left or right. My best option seems to be “the striped circle with the red border,” since it emphasizes both the pattern and the color without being overly complicated. It’s concise, which is what I’m aiming for! I wonder if there's an even simpler way to express it, but this feels like a solid choice.","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",pick the gray vertically striped triangle with a blue outline.,"**Describing the target shape**

I'm focusing on a clear description of the target, which is a blue triangle with vertical gray stripes. The border is also blue, and the stripes are definitely vertical, not wavy. I need to make sure that there's no confusion with hidden items, like curtains. So, I think I’ll describe it as a ""striped gray triangle outlined in blue."" That should convey the necessary details effectively!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",pick the grey circle with wavy lines and a red border.,"**Describing visual elements**

I'm trying to clearly differentiate between two shapes without using spatial terms like top-left. For the first one, I can say, ""the gray circle with wavy horizontal lines and red outline."" The second option is ""the gray dotted circle with a black outline."" I'm focusing on ensuring the descriptions are vivid and precise so that it's easy to understand the distinctions in appearance. Let's get that settled!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",pick the square with vertical gray stripes inside a red border (not the polka‑dot circle).,"**Describing visual elements**

I’m focusing on how to describe what I see. I need to mention a vertical gray stripe design within a square red frame. There’s also a polka dot circle and some red curtains, though I'm unsure about the specifics of those. I wonder if the surroundings should play any role in my description or if I should stick to these key elements. The details feel a bit scattered, but I think I’ve got a solid start!",['square'],['stripe'],True,True,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","select the square with gray and white wavy, curvy lines (like a sine-wave pattern), not the one with straight vertical stripes.","**Describing the target pattern**

I need to describe the dashed red box target effectively. I want to emphasize its wavy gray and white pattern compared to visible vertical stripes. It’s important to create a unique description since hidden question marks could represent anything. I should focus on distinguishing features, noting that my target has curvy, wavy lines rather than straight vertical stripes. I won't mention any spatial details, just the characteristics that set it apart.",['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",pick the gray wavy-patterned triangle with the thick black outline.,"**Choosing a design description**

I need to create a description for my target featuring a wavy patterned triangle with a black outline. I should think about how to highlight what makes it unique compared to a conventional star shape or other designs. It's interesting to think about how the visual elements can convey a certain vibe! So, I'll focus on those distinctive features in my description while keeping it appealing and clear for the user to understand.","['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",pick the light-colored square filled with small gray dots and a thin red border (not the checkerboard shapes).,"**Considering selection options**

I need a clear description to help identify the dotted square shape. It's important to differentiate it from the circular checker and the square checker. I want to ensure that the user can easily see the distinctions between these shapes. Maybe I'll focus on their unique features and how they look compared to one another. This will help the user make an informed choice when selecting the correct one!",['square'],['dot'],True,True,True
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",select the red-outlined star with a gray checkerboard pattern inside.,"**Describing target shape**

I need a concise description that avoids spatial references like ""top right."" The target shape is a red outlined star with a checkerboard fill. I want to make sure to distinguish it from other shapes, like the black outlined star with vertical stripes. Other shapes also include a circle, square, and triangle. It's essential that the description clearly identifies the target among similar shapes without confusing anyone.",['star'],['checker'],True,True,True
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",pick the triangle with a green outline and gray polka dots inside (not the blue triangle with a checkerboard pattern).,"**Clarifying visual references**

I'm trying to create a concise expression to refer to specific shapes. I want to differentiate between a green triangle filled with gray dots and a blue triangle with a checkerboard pattern, along with some curtains. I want to avoid using spatial terms like ""top right."" So, I'll say: ""the green-outlined triangle filled with gray dots (not the blue one with the checker pattern)."" That should make it clear which one I'm talking about!","['triangle', 'triangular']",['dot'],True,True,True
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",select the green square with the gray polka-dot pattern.,"**Describing target objects**

I need a concise phrase to describe the target objects, which include a blue circle that’s wavy, a red circle that’s dotted, and a green square that’s also dotted. I want to make sure to avoid any spatial references in my phrasing. There’s a lot to consider in how to keep it simple but clear. Let’s get creative with this description! I’ll think through some options.",['square'],['dot'],True,True,True
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",pick the vertically striped star with a green outline.,"**Describing the target shape**

I need to describe a target that has a green star outline with vertical gray stripes inside. It's important to distinguish this from other shapes like a circle with a blue outline, stripes, squares with dots, and wavy patterns. I want to avoid any spatial references in my description. So, I'll refer to it simply as a ""striped star with a green outline."" That should help keep things clear!",['star'],['stripe'],True,True,True
