image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Select the triangle with vertical stripes inside (not the triangle with wavy lines or the star).,"**Referring to shapes uniquely**

I'm looking at a grid with a 3x3 layout. On the middle left, I see a triangle with a wavy pattern, and on the middle right, there's a star with a similar wavy design. The bottom right triangle has vertical stripes. I want to create a referring expression that avoids spatial terms. The two triangles can be distinguished by their patterns: one has wavy fill, while the other is striped. So I could say, ""the striped triangle, not the wavy one."""
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the picture with the gray checkerboard pattern made of alternating light and dark squares.,"**Considering pattern selection**

I'm thinking we can refer to ""blue border"" and ""checkerboard,"" but just in case they don't notice the borders, I should be clear. I could say something like: ""Select the one with a grey checkerboard pattern of alternating light and dark squares."" That should be specific enough for them to make the right choice!"
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Pick the only uncovered shape that is not a star — the grey circle with wavy stripes and a red border.,"**Describing visual elements**

I need to provide a clear and descriptive reference for a listener to identify a target shape: a wavy grey circle with a red outline. I should avoid using specific spatial terms since it might create confusion. It's important to highlight features like shape, color, and pattern while being mindful of what the listener can see. The circle is distinct because it’s the only one with a wavy pattern. I might say, ""the grey circle with a wavy pattern and a reddish border,"" which helps differentiate it from other shapes."
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Pick the blue-outlined square that has a gray-and-white checkerboard pattern inside.,"**Describing target object**

I'm working on describing a target object, which is a checkered blue square outline. I need to avoid mentioning any grid positions. I’ll compare it with other items: a grey dotted triangle with a thick black outline, a green star with polka dots, and a blue star featuring vertical gray stripes. My phrase will be: ""the blue-outlined square with a gray and white checkerboard inside."" I want to avoid any unique illusions, so that should cover it!"
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Pick the blue-outlined square filled with gray wavy stripes.,"**Describing target object**

I'm figuring out how to refer to the target object in a 3x3 grid. The target is the bottom-middle item, which is a blue-bordered square with wavy stripes. I need to describe it using color, shape, pattern, and border to make it unique among visible objects. There are no red curtain objects, just a variety of shapes and patterns. A good description could be “square with wavy gray lines and blue border.” I’ll keep it concise!"
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the circle with the checkerboard pattern and a black outline.,"**Identifying target objects**

I need to refer to a specific object among several visible ones, ensuring there are no spatial terms involved. I'm focusing on a circle with a checkerboard pattern and a thick black outline in the top row middle. It stands out because its properties—being a circle with a checkerboard interior and a black border—set it apart. Other nearby circles have different patterns or colors, so I'll specify, ""the circle with the checkerboard pattern and black outline."""
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Pick the striped circle with the red border.,none
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Select the blue-outlined triangle with vertical gray stripes inside.,"**Describing target object**

I need to provide instructions to select a specific target object, which is a triangle with a blue outline and grey vertical stripes on the interior. I should avoid using spatial references like ""top right"" or any mention of hidden objects. It's important to focus on the unique properties of this triangle since others might see different objects. The triangle is unique for having straight vertical stripes, unlike the wavy shapes of other objects, making my description clear and unambiguous."
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Pick the circle that has gray wavy stripes inside and a light red ring around it (not the dotted circle and not a curtain).,"**Describing the target object**

I need to provide a clear description of the target so others can identify it. It’s in a 3x3 grid, with the target being a grey circle featuring wavy stripes and a dashed red border. There's another visible object in the bottom-right, a circle with gray dots and a black border. I can't mention where the curtains are located, but I can say which objects are ""not hidden by a curtain"" to ensure clarity."
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Pick the square picture with vertical gray stripes and a red border.,"**Describing an object for clarity**

I need to create a description for a target object so that the listener can identify it correctly. It's important to avoid spatial references since arrangements can vary. I should focus only on the visible attributes, like the vertical gray stripes within a square red border. There's another item with gray polka dots in a circular red border. I want to say clearly: ""the square frame with vertical gray stripes"" to differentiate from the hidden objects."
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","Pick the picture with gray and white wavy, squiggly horizontal lines (not the one with straight vertical stripes).","**Describing visual patterns**

I'm identifying a wavy gray pattern that needs a unique description without spatial references. Besides this pattern, there's a visible gray vertical stripe, and two hidden curtains with unknown patterns. I should suggest choices to the listener, explicitly mentioning the wavy horizontal squiggle lines and contrasting them with the straight vertical stripes. My goal is to keep it simple so the listener can easily decide between the patterns."
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",Pick the black-outlined triangle with the wavy gray pattern inside.,"We need to describe the target object clearly so the listener can identify it without using spatial cues like ""bottom left."" The target is a wavy-patterned triangle with a thick black outline. There are also two polka-dot circles with colored borders (red and green) and one circle with vertical stripes, plus a wavy star. To ensure clarity, I’ll refer to it as “the wavy-pattern triangle” to avoid any confusion. The message should be concise for easy understanding."
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",Pick the square with the gray polka‑dot pattern and the thin red border (not either of the checkerboard shapes).,"**Considering referring expressions**

I need to develop a way to guide the listener toward identifying a specific target: a square with grey polka dots bordered by a thin red or pink line. I should inspect what makes a referring expression effective and how it can help clarify what I’m trying to convey. Let's unravel this together and think about how best to describe it! I’m curious about the details that will make this clear to the listener."
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",Pick the star that has a red outline and a gray checkerboard pattern inside (not the black-outlined star with stripes).,"**Describing the target object**

I need to describe the target object so the listener can identify it clearly. The grid has various shapes: there’s a left circle with wavy lines and a right square with a checkerboard pattern on the top row. The target is a red-outlined star filled with a grey checkerboard interior in the middle row. It’s important I focus on the star with the checkerboard pattern and red outline, without referring to anything by its position on the grid."
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2","Pick the visible triangle with a green border and gray polka dots, not the blue checkered triangle.","**Evaluating object descriptions**

I need to focus on describing a green-bordered triangle filled with gray dots, while also considering a blue-bordered triangle with a checkerboard pattern. I can't refer to their positions due to the curtains blocking some shapes and hiding elements that the listener knows about. I should provide unique descriptions to avoid confusion since we can't assume the hidden shapes share attributes. I'll aim to use clear and distinct terms that the listener can use to identify the target accurately."
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3","Pick the green-outlined square with gray polka dots (the only dotted square, not a circle).","**Describing target objects**

I'm looking at a 3x3 grid with different objects that need describing. There's a circle with a blue border and a wavy pattern, a circle with a red border and gray dots, and a square with a green border and gray dots, which is the target. I can’t use spatial terms like ""left"" or ""right,"" so I'll focus on features. I will explain the square as ""the only dotted square with a green border"" to ensure clarity."
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",Select the green star outline filled with vertical gray stripes.,"**Crafting a Unique Description**

I need to describe a green star with vertical gray stripes for a game. I can’t reference spatial positions, since they might vary for the listener. There are hidden objects that the listener knows but I don't. I need to ensure my description makes it unique compared to other visible objects, like the blue circle or black squares. My phrase should be: ""the outlined green star with vertical gray stripes, not the circle or squares."" That should work!"
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",Select the gray polka‑dotted star with a blue outline.,"**Analyzing star descriptions**

I’m considering how to describe a star when there are potentially multiple objects behind a curtain. If we refer to “the only star,” that could mislead listeners if there are more. So, a safer approach is to highlight unique visible attributes, even if they might not completely differentiate from hidden ones. It’s about crafting a description that fits the target but could also apply to others, like “the star-shaped object with a blue outline and gray polka dots inside.” This way, we reduce confusion."
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",Select the triangle with the red outline and dotted interior (not the blue-outlined triangle with wavy stripes).,"**Clarifying visual description**

I need to avoid using spatial information, but I can refer to color, border style, fill pattern, and shape. It's also essential to highlight differences between items. For example, I might say, ""Pick the triangle with a red outline and polka-dot interior, not the one with a blue outline and wavy stripes."" That should provide enough clarity for what I'm explaining while keeping my description precise."
