image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture,listener_question,listener_answer,listener_answer_correct,
exp2_001.jpeg,cond2,absent,present,2,The triangle with vertical stripes.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The triangle with vertical stripes.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n3'],yes,
exp2_002.jpeg,cond4,present,present,4,The checkered pattern.,1,no,no,yes,Imagine someone is talking to you and tells you 'The checkered pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n2'],yes,
exp2_003.jpeg,cond3,present,absent,4,The circle with the wavy pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n1'],none,flipped?
exp2_004.jpeg,cond1,absent,absent,3,The checkered square.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The checkered square.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n3'],yes,
exp2_005.jpeg,cond2,absent,present,3,The wavy patterned square.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The wavy patterned square.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['2\n3'],yes,
exp2_006.jpeg,cond2,absent,present,4,The circle with a black border and checkerboard pattern.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The circle with a black border and checkerboard pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['2\n1'],yes,
exp2_007.jpeg,cond4,present,present,3,the circle with the red border.,2,yes,yes,no,Imagine someone is talking to you and tells you 'the circle with the red border.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n2'],yes,
exp2_008.jpeg,cond1,absent,absent,4,The blue triangle with vertical stripes.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The blue triangle with vertical stripes.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n1'],yes,
exp2_009.jpeg,cond4,present,present,2,The circle with the wavy pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['1\n1'],yes,
exp2_010.jpeg,cond3,present,absent,3,The striped rectangle.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The striped rectangle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n2'],yes,
exp2_011.jpeg,cond4,present,present,2,The wavy pattern.,1,no,no,yes,Imagine someone is talking to you and tells you 'The wavy pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['1\n1'],no,ambiguous
exp2_012.jpeg,cond1,absent,absent,4,The triangle with the wavy pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The triangle with the wavy pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"['6,3']",none,
exp2_013.jpeg,cond2,absent,present,2,the square with dots.,2,yes,no,yes,Imagine someone is talking to you and tells you 'the square with dots.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n2'],yes,
exp2_014.jpeg,cond2,absent,present,4,The star with a checkerboard pattern inside.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The star with a checkerboard pattern inside.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n2'],yes,
exp2_015.jpeg,cond4,present,present,2,The green triangle with gray dots.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The green triangle with gray dots.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n2'],yes,
exp2_016.jpeg,cond1,absent,absent,2,The green square with dots.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The green square with dots.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n3'],none,
exp2_017.jpeg,cond3,present,absent,4,The green star with vertical stripes.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The green star with vertical stripes.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"['5, 3']",none,
exp2_018.jpeg,cond3,present,absent,3,The blue star with a dotted pattern.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The blue star with a dotted pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['1\n1'],yes,
exp2_019.jpeg,cond4,present,present,3,The triangle with the wavy pattern and blue border.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'The triangle with the wavy pattern and blue border.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['3\n3'],no,wrong target
exp2_020.jpeg,cond4,present,present,3,The triangle with the polka dot pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'The triangle with the polka dot pattern.' Which object are they telling you about? Please refer to the object by the column number and the row number.,['1\n1'],yes,
