image_file,condition,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,position_word,obj1shape,obj1color,obj1pattern,obj2shape,obj2color,obj2pattern,obj3shape,obj3color,obj3pattern,question_speaker,question_free_speaker,question_listener_1,question_listener_2,speaker_answer,answer1,answer2
cond6_001.jpeg,cond6,circle,striped,square,spotted,shape,pattern,1,1,3,rightmost,square,red,spotted,square,red,spotted,circle,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'circle' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"circle: 70
striped: 30",70,30
cond6_002.jpeg,cond6,square,green,circle,blue,shape,color,1,1,2,middle,circle,blue,checked,square,green,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"square: 90
green: 10",90,10
cond6_003.jpeg,cond6,square,striped,circle,spotted,shape,pattern,1,1,1,leftmost,square,red,striped,circle,red,spotted,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'square' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"striped: 20
square: 80",80,20
cond6_004.jpeg,cond6,striped,blue,spotted,green,pattern,color,1,1,1,leftmost,triangle,blue,striped,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'striped' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"striped: 70
blue: 30",70,30
cond6_005.jpeg,cond6,blue,circle,green,square,color,shape,1,1,1,leftmost,circle,blue,checked,square,green,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'blue' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,"blue: 30
circle: 70",30,70
cond6_006.jpeg,cond6,square,green,circle,blue,shape,color,1,1,1,leftmost,square,green,checked,circle,blue,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'square' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"square: 95
green: 5",95,5
cond6_007.jpeg,cond6,circle,striped,square,spotted,shape,pattern,1,1,3,rightmost,square,red,spotted,square,red,spotted,circle,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'circle' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"circle: 60
striped: 40",60,40
cond6_008.jpeg,cond6,square,blue,circle,green,shape,color,1,1,2,middle,circle,green,checked,square,blue,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"square: 95
blue: 5",95,5
cond6_009.jpeg,cond6,circle,blue,square,green,shape,color,1,1,1,leftmost,circle,blue,checked,square,green,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'circle' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"circle: 80
blue: 20",20,80
cond6_010.jpeg,cond6,circle,green,square,blue,shape,color,1,1,2,middle,square,blue,checked,circle,green,checked,square,blue,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"circle: 90
green: 10",90,10
