image_file,condition,occlusion,distractor,non_target,speaker_answer,listener_question
exp2_001.jpeg,cond2,absent,present,2,Pick the triangle with vertical stripes inside (not the one with wavy lines).,Imagine someone is talking to you and tells you 'Pick the triangle with vertical stripes inside (not the one with wavy lines).' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_002.jpeg,cond4,present,present,4,Pick the gray-and-white checkerboard pattern.,Imagine someone is talking to you and tells you 'Pick the gray-and-white checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_003.jpeg,cond3,present,absent,4,Pick the grey wavy circle.,Imagine someone is talking to you and tells you 'Pick the grey wavy circle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_004.jpeg,cond1,absent,absent,3,Pick the blue square with a grey-and-white checkerboard pattern inside.,Imagine someone is talking to you and tells you 'Pick the blue square with a grey-and-white checkerboard pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_005.jpeg,cond2,absent,present,3,Pick the gray wavy square with the red outline.,Imagine someone is talking to you and tells you 'Pick the gray wavy square with the red outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_006.jpeg,cond2,absent,present,4,Pick the **gray checkered circle with a thick black outline**.,Imagine someone is talking to you and tells you 'Pick the **gray checkered circle with a thick black outline**.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_007.jpeg,cond4,present,present,3,Pick the striped circle that is **not** outlined in blue.,Imagine someone is talking to you and tells you 'Pick the striped circle that is **not** outlined in blue.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_008.jpeg,cond1,absent,absent,4,Pick the only blue-outlined triangle with vertical gray-and-white stripes.,Imagine someone is talking to you and tells you 'Pick the only blue-outlined triangle with vertical gray-and-white stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_009.jpeg,cond4,present,present,2,Select the grey circle with the wavy zigzag pattern and the red outline.,Imagine someone is talking to you and tells you 'Select the grey circle with the wavy zigzag pattern and the red outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_010.jpeg,cond3,present,absent,3,Pick the square picture with vertical gray and white stripes inside a red border.,Imagine someone is talking to you and tells you 'Pick the square picture with vertical gray and white stripes inside a red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_011.jpeg,cond4,present,present,2,"Pick the picture with the wavy gray and white lines (like a series of horizontal waves), not the one with straight vertical stripes.","Imagine someone is talking to you and tells you 'Pick the picture with the wavy gray and white lines (like a series of horizontal waves), not the one with straight vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number."
exp2_012.jpeg,cond1,absent,absent,4,Pick the gray wavy triangle.,Imagine someone is talking to you and tells you 'Pick the gray wavy triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_013.jpeg,cond2,absent,present,2,Pick the **square with the gray polka-dot pattern and a thin red border** (not a checkerboard).,Imagine someone is talking to you and tells you 'Pick the **square with the gray polka-dot pattern and a thin red border** (not a checkerboard).' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_014.jpeg,cond2,absent,present,4,Pick the red-outlined star with a checkered pattern inside.,Imagine someone is talking to you and tells you 'Pick the red-outlined star with a checkered pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_015.jpeg,cond4,present,present,2,Pick the triangle with the green outline and the gray polka-dot pattern inside.,Imagine someone is talking to you and tells you 'Pick the triangle with the green outline and the gray polka-dot pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_016.jpeg,cond1,absent,absent,2,Pick the square with the gray polka-dot pattern and the green border.,Imagine someone is talking to you and tells you 'Pick the square with the gray polka-dot pattern and the green border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_017.jpeg,cond3,present,absent,4,Pick the green star with vertical gray stripes inside it.,Imagine someone is talking to you and tells you 'Pick the green star with vertical gray stripes inside it.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_018.jpeg,cond3,present,absent,3,Pick the blue-outlined star with a grey polka-dot fill.,Imagine someone is talking to you and tells you 'Pick the blue-outlined star with a grey polka-dot fill.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_019.jpeg,cond4,present,present,3,Pick the triangle with the red outline and dotted interior.,Imagine someone is talking to you and tells you 'Pick the triangle with the red outline and dotted interior.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_020.jpeg,cond4,present,present,3,Pick the triangle with the dotted interior.,Imagine someone is talking to you and tells you 'Pick the triangle with the dotted interior.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_021.jpeg,cond1,absent,absent,3,Pick the gray vertically striped triangle with a red outline.,Imagine someone is talking to you and tells you 'Pick the gray vertically striped triangle with a red outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_022.jpeg,cond1,absent,absent,4,Pick the **gray vertically striped square with a thick black outline**.,Imagine someone is talking to you and tells you 'Pick the **gray vertically striped square with a thick black outline**.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_023.jpeg,cond2,absent,present,4,Pick the green-outlined circle that has a gray polka-dot pattern inside.,Imagine someone is talking to you and tells you 'Pick the green-outlined circle that has a gray polka-dot pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_024.jpeg,cond2,absent,present,2,Pick the green-outlined triangle with vertical gray stripes inside.,Imagine someone is talking to you and tells you 'Pick the green-outlined triangle with vertical gray stripes inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_025.jpeg,cond3,present,absent,2,Pick the blue-outlined star with a grey polka-dot fill.,Imagine someone is talking to you and tells you 'Pick the blue-outlined star with a grey polka-dot fill.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_026.jpeg,cond4,present,present,2,Pick the star with the checkerboard pattern inside it (not the one with vertical stripes).,Imagine someone is talking to you and tells you 'Pick the star with the checkerboard pattern inside it (not the one with vertical stripes).' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_027.jpeg,cond3,present,absent,2,Pick the blue-outlined star with a grey checkerboard pattern inside.,Imagine someone is talking to you and tells you 'Pick the blue-outlined star with a grey checkerboard pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_028.jpeg,cond2,absent,present,3,Select the **blue-outlined triangle with a dotted interior**.,Imagine someone is talking to you and tells you 'Select the **blue-outlined triangle with a dotted interior**.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_029.jpeg,cond1,absent,absent,4,Pick the gray circle with the red outline that has a wavy pattern inside.,Imagine someone is talking to you and tells you 'Pick the gray circle with the red outline that has a wavy pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_030.jpeg,cond2,absent,present,3,Pick the green-outlined circle with the wavy gray pattern inside.,Imagine someone is talking to you and tells you 'Pick the green-outlined circle with the wavy gray pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_031.jpeg,cond3,present,absent,3,Pick the green-outlined circle with the gray checkerboard pattern inside.,Imagine someone is talking to you and tells you 'Pick the green-outlined circle with the gray checkerboard pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_032.jpeg,cond3,present,absent,4,Pick the striped triangle with the red outline.,Imagine someone is talking to you and tells you 'Pick the striped triangle with the red outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_033.jpeg,cond1,absent,absent,3,Pick the green-outlined star with vertical gray-and-white stripes inside.,Imagine someone is talking to you and tells you 'Pick the green-outlined star with vertical gray-and-white stripes inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_034.jpeg,cond4,present,present,4,Pick the **square with gray polka dots and a thin gray border** (not the one with a thick black border).,Imagine someone is talking to you and tells you 'Pick the **square with gray polka dots and a thin gray border** (not the one with a thick black border).' Which object are they telling you about? Please use refer to the object by the column number and the row number.
