image_file,condition,occlusion,distractor,non_target,speaker_answer,listener_question,listener_answer,listener_answer_correct,
exp2_001.jpeg,cond2,absent,present,2,striped,Imagine someone is talking to you and tells you 'striped' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",none,
exp2_002.jpeg,cond4,present,present,4,Blue.,Imagine someone is talking to you and tells you 'Blue.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 1",no,ambiguous
exp2_003.jpeg,cond3,present,absent,4,Circle.,Imagine someone is talking to you and tells you 'Circle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_004.jpeg,cond1,absent,absent,3,Square.,Imagine someone is talking to you and tells you 'Square.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_005.jpeg,cond2,absent,present,3,Wavy,Imagine someone is talking to you and tells you 'Wavy' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",yes,
exp2_006.jpeg,cond2,absent,present,4,Black circle.,Imagine someone is talking to you and tells you 'Black circle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
exp2_007.jpeg,cond4,present,present,3,Red circle,Imagine someone is talking to you and tells you 'Red circle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_008.jpeg,cond1,absent,absent,4,Striped.,Imagine someone is talking to you and tells you 'Striped.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 1",yes,
exp2_009.jpeg,cond4,present,present,2,Wavy.,Imagine someone is talking to you and tells you 'Wavy.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_010.jpeg,cond3,present,absent,3,Stripes,Imagine someone is talking to you and tells you 'Stripes' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",yes,
exp2_011.jpeg,cond4,present,present,2,Wavy.,Imagine someone is talking to you and tells you 'Wavy.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",no,ambiguous
exp2_012.jpeg,cond1,absent,absent,4,Triangle,Imagine someone is talking to you and tells you 'Triangle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",yes,
