image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture
exp2_001.jpeg,cond2,absent,present,2,Select the triangle that has vertical stripes.,2,yes,no,yes
exp2_002.jpeg,cond4,present,present,4,Select the square with the checkerboard pattern.,2,yes,no,yes
exp2_003.jpeg,cond3,present,absent,4,Select the circle that has a red border and is filled with wavy lines.,3,yes,yes,yes
exp2_004.jpeg,cond1,absent,absent,3,Select the square that has a grey and white checkerboard pattern inside.,2,yes,no,yes
exp2_005.jpeg,cond2,absent,present,3,The square with the blue border and the wavy pattern inside.,3,yes,yes,yes
exp2_006.jpeg,cond2,absent,present,4,The circle with the checkerboard pattern.,2,yes,no,yes
exp2_007.jpeg,cond4,present,present,3,The circle with the red border.,2,yes,yes,no
exp2_008.jpeg,cond1,absent,absent,4,Select the object with the vertical stripes.,1,no,no,yes
exp2_009.jpeg,cond4,present,present,2,Select the circle that has wavy lines inside it.,2,yes,no,yes
exp2_010.jpeg,cond3,present,absent,3,Select the square with the vertical grey stripes and a red border.,3,yes,yes,yes
exp2_011.jpeg,cond4,present,present,2,It's the square with the wavy gray and white pattern inside a black border.,3,yes,yes,yes
exp2_012.jpeg,cond1,absent,absent,4,Select the triangle with the wavy pattern inside.,2,yes,no,yes
exp2_013.jpeg,cond2,absent,present,2,Select the square that is filled with grey dots.,2,yes,no,yes
exp2_014.jpeg,cond2,absent,present,4,The object is a star with a red outline and a checkerboard pattern inside.,3,yes,yes,yes
exp2_015.jpeg,cond4,present,present,2,The triangle with the green outline is filled with gray dots.,3,yes,yes,yes
exp2_016.jpeg,cond1,absent,absent,2,The square filled with polka dots.,2,yes,no,yes
exp2_017.jpeg,cond3,present,absent,4,The object is a green star that has vertical stripes inside.,3,yes,yes,yes
exp2_018.jpeg,cond3,present,absent,3,It's a five-pointed star with a blue outline and a gray polka dot pattern on the inside.,3,yes,yes,yes
exp2_019.jpeg,cond4,present,present,3,Select the triangle that has a red outline and is filled with gray dots.,3,yes,yes,yes
exp2_020.jpeg,cond4,present,present,3,Select the triangle that is filled with grey dots.,2,yes,no,yes
exp2_021.jpeg,cond1,absent,absent,3,Select the triangle.,1,yes,no,no
exp2_022.jpeg,cond1,absent,absent,4,It's the square filled with vertical stripes.,2,yes,no,yes
exp2_023.jpeg,cond2,absent,present,4,The circle with the green outline and grey dots inside.,3,yes,yes,yes
exp2_024.jpeg,cond2,absent,present,2,The triangle with the green outline and vertical stripes inside.,3,yes,yes,yes
exp2_025.jpeg,cond3,present,absent,2,Select the star with the blue outline that is filled with gray dots.,3,yes,yes,yes
exp2_026.jpeg,cond4,present,present,2,The star with the checkerboard pattern.,2,yes,no,yes
exp2_027.jpeg,cond3,present,absent,2,It's the star with a blue outline and a checkerboard pattern inside.,3,yes,yes,yes
exp2_028.jpeg,cond2,absent,present,3,The blue triangle.,2,yes,yes,no
exp2_029.jpeg,cond1,absent,absent,4,Select the circle with the red outline and a grey wavy pattern inside.,3,yes,yes,yes
exp2_030.jpeg,cond2,absent,present,3,It's the circle with the green outline and a wavy pattern inside.,3,yes,yes,yes
exp2_031.jpeg,cond3,present,absent,3,Select the circle with the checkerboard pattern inside.,2,yes,no,yes
exp2_032.jpeg,cond3,present,absent,4,Select the red triangle filled with vertical gray stripes.,3,yes,yes,yes
exp2_033.jpeg,cond1,absent,absent,3,Select the star with the vertical stripes.,2,yes,no,yes
exp2_034.jpeg,cond4,present,present,4,Select the square filled with grey dots that doesn't have a black border.,3,yes,yes,yes
exp2_035.jpeg,cond4,present,present,3,The star with the black outline.,2,yes,yes,no
exp2_036.jpeg,cond2,absent,present,4,The star with the green outline is filled with dots.,3,yes,yes,yes
exp2_037.jpeg,cond3,present,absent,3,Select the triangle that has a thick black outline and is filled with a gray and white wavy pattern.,3,yes,yes,yes
exp2_038.jpeg,cond3,present,absent,2,Select the circle that has vertical gray and white stripes.,2,yes,no,yes
exp2_039.jpeg,cond4,present,present,4,It's the triangle that is filled with a wavy pattern.,2,yes,no,yes
exp2_040.jpeg,cond1,absent,absent,4,It's the square filled with vertical stripes.,2,yes,no,yes
