image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","Pick the triangle that has vertical stripes inside it, not the one with the wavy pattern.","**Considering expressions for shapes**

I'm trying to come up with a succinct way to refer to ""striped triangle,"" ""wavy triangle,"" and ""wavy star."" Maybe I should think about clarity and how people typically visualize these shapes. I want to ensure that the terms I choose are intuitive and easy to understand. It’s interesting how just the names can influence someone’s perception of these shapes. I’ll keep brainstorming to find the best way to express these!"
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Pick the picture with the gray checkerboard pattern inside a blue border.,"**Describing patterns uniquely**

I need a way to refer to the gray checkerboard pattern compared to other visible objects like the gray polka-dot star outline and squiggly waves. I can't rely on spatial words like ""middle"" or ""top-right,"" so I should describe it uniquely. I could say ""gray checkerboard pattern with blue frame"" to distinguish it clearly from the waves with a green border and the star shape. It's important to mention that it's the only checkerboard in the mix."
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the grey wavy circle with a red outline.,"**Describing a visual element**

I'm thinking I need a brief way to describe a specific graphic: a grey wavy circle with a red outline. I want to keep it simple and avoid any spatial references, just focusing on the fact that it's a circle, not stars. Including the wavy pattern is also important. This way, I can convey exactly what I'm envisioning without getting too complicated."
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Pick the blue-outlined square filled with a gray checkerboard pattern.,"**Describing shapes and colors**

I need a clear description for a blue-bordered gray checkerboard square. I’m thinking of simply stating it like, ""the blue-outlined square with gray checkerboard fill."" I also have other shapes to consider, like a dotted black triangle, a dotted green star, and a striped blue star. I want to avoid adding any unnecessary spatial references while ensuring the details are clear. Alright, I think I've got it!"
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Pick the blue-outlined square filled with a gray wavy pattern.,"**Describing visual elements**

I need to create a referring expression for the target that's a gray wavy square with a blue outline. Actually, the outline might be red? There's also a red-outlined checkerboard square in the top middle, with a blue triangle checkerboard in the upper left and a blue star with vertical stripes in the bottom left. For the bottom middle target, I'll describe it as ""the blue-outlined square with wavy gray stripes"" and avoid mentioning the checkerboard or star/triangle details."
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the checkered circle with the solid black outline.,"**Describing a checkered circle**

I need to create a description for a checkered circle that has a black border. I should avoid using spatial words and make sure not to confuse it with other checkered shapes like triangles or stars. It's a unique circle pattern, featuring a checkered interior complemented by the black outline. There’s also a wavy circle in red and a blue polka square, which adds some contrast in the overall design context."
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Pick the circle with vertical gray-and-white stripes that has a red outline (not the one with a blue outline).,"**Describing visual distinctions**

I need to create a short description for the recipient to differentiate a striped circle with a red border from one with a blue border. The challenge is that the recipient can't see the box, so I can't refer to its position. I should describe it as a circle with vertical gray and white stripes, clearly emphasizing that it has a red outline, while the other has a blue one. I also need to avoid mentioning curtains since they’re hidden from view."
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Pick the blue-outlined triangle with vertical grey-and-white stripes inside.,"**Describing a target shape**

I need to describe the target shape clearly. It’s a blue triangle outlined, with vertical stripes in grey and white inside. I want to differentiate it from the other shape, which is a blue star with a wavy fill. So, I should specify it as a “blue triangle with striped fill” to avoid mixing it up with the wavy pattern of the star. Keeping the descriptions clear is key!"
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Pick the circle with gray wavy lines inside and a red outline.,"**Describing visuals clearly**

I need to refer to a specific target: it’s a circle with wavy gray lines and a red border. I want to focus on a description that distinguishes it without being spatial. There are also other visible objects, like another circle with polka dots and a black outline. The details about the curtains aren’t known. So, my best approach is to say ""the circle with gray wavy stripes and red border."""
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Pick the image that is a **square with vertical gray stripes inside a red border** (not the circle with dots and not a red curtain).,"**Choosing a design description**

I need to avoid describing anything with spatial elements like dots or curtains. Instead, I should focus on asking the user to select grey vertical stripes within a red square frame. So, I’ll make sure my description clearly conveys that it’s stripes in a square and not a circle or polka dots. It’s all about being precise and visual in my instructions!"
