image_file,condition,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,position_word,obj1shape,obj1color,obj1pattern,obj2shape,obj2color,obj2pattern,obj3shape,obj3color,obj3pattern,question_speaker,question_free_speaker,question_listener_1,question_listener_2
cond4_001.jpeg,cond4,green,spotted,blue,striped,color,pattern,2,2,2,middle,triangle,blue,striped,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond4_003.jpeg,cond4,square,spotted,circle,striped,shape,pattern,2,2,2,middle,square,red,spotted,square,red,spotted,circle,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond4_005.jpeg,cond4,blue,circle,green,square,color,shape,2,2,2,middle,square,green,checked,circle,blue,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'blue' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond4_006.jpeg,cond4,green,circle,blue,square,color,shape,2,2,3,rightmost,circle,green,checked,square,blue,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'green' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond4_009.jpeg,cond4,square,striped,circle,spotted,shape,pattern,2,2,3,rightmost,circle,red,spotted,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond4_012.jpeg,cond4,striped,square,spotted,circle,pattern,shape,2,2,1,leftmost,square,red,striped,circle,red,spotted,square,red,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'striped' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond4_013.jpeg,cond4,spotted,square,striped,circle,pattern,shape,2,2,1,leftmost,square,red,spotted,circle,red,striped,square,red,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'spotted' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond4_014.jpeg,cond4,striped,green,spotted,blue,pattern,color,2,2,3,rightmost,triangle,green,striped,triangle,blue,spotted,triangle,green,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'striped' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_016.jpeg,cond4,spotted,square,striped,circle,pattern,shape,2,2,2,middle,circle,red,striped,square,red,spotted,square,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond4_017.jpeg,cond4,green,square,blue,circle,color,shape,2,2,1,leftmost,square,green,checked,square,green,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond4_018.jpeg,cond4,green,spotted,blue,striped,color,pattern,2,2,2,middle,triangle,green,spotted,triangle,green,spotted,triangle,blue,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond4_020.jpeg,cond4,green,striped,blue,spotted,color,pattern,2,2,1,leftmost,triangle,green,striped,triangle,blue,spotted,triangle,green,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond4_021.jpeg,cond4,green,circle,blue,square,color,shape,2,2,1,leftmost,circle,green,checked,circle,green,checked,square,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond4_023.jpeg,cond4,square,green,circle,blue,shape,color,2,2,1,leftmost,square,green,checked,square,green,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'square' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_024.jpeg,cond4,striped,green,spotted,blue,pattern,color,2,2,1,leftmost,triangle,green,striped,triangle,green,striped,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'striped' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_026.jpeg,cond4,spotted,blue,striped,green,pattern,color,2,2,2,middle,triangle,green,striped,triangle,blue,spotted,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?
cond4_028.jpeg,cond4,square,green,circle,blue,shape,color,2,2,2,middle,circle,blue,checked,square,green,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_031.jpeg,cond4,circle,blue,square,green,shape,color,2,2,3,rightmost,square,green,checked,circle,blue,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'circle' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?
cond4_032.jpeg,cond4,square,striped,circle,spotted,shape,pattern,2,2,3,rightmost,square,red,striped,circle,red,spotted,square,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond4_035.jpeg,cond4,blue,circle,green,square,color,shape,2,2,3,rightmost,circle,blue,checked,square,green,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'blue' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond4_037.jpeg,cond4,circle,striped,square,spotted,shape,pattern,2,2,3,rightmost,square,red,spotted,circle,red,striped,circle,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'circle' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond4_038.jpeg,cond4,striped,green,spotted,blue,pattern,color,2,2,2,middle,triangle,blue,spotted,triangle,green,striped,triangle,green,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'striped' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_041.jpeg,cond4,square,striped,circle,spotted,shape,pattern,2,2,2,middle,circle,red,spotted,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
