image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Select the triangle with straight vertical stripes inside (not the one with wavy lines).,"**Clarifying visual references**

I need to create a clear referring expression for the dashed red box target. I have to avoid using spatial descriptions like ""bottom right,"" since other views are unknown. I'll refer to visible features like shapes and patterns instead. In the grid, we have a wavy-filled triangle and a wavy-filled star, but the target is a striped triangle with vertical stripes. So, I could say, ""the vertically striped triangle"" to make it concise and distinct."
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Pick the grey-and-white checkerboard pattern that has a blue border.,none
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the circular shape with gray wavy stripes inside and a red outline.,"**Describing a shape**

I need to focus on providing a clear, informative description. The phrase I'll use is: ""the circle with gray wavy stripes and a red outline."" This paints a visual image that should help others understand exactly what I'm referring to. I want to make sure the details are precise and easy to visualize, so the description is effective. Keeping it simple yet descriptive is key!"
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Pick the blue-outlined square filled with a gray-and-white checkerboard pattern.,none
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Pick the square that has gray wavy lines inside and a blue outline.,none
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the circle with a checkerboard pattern inside and a solid black border.,"**Clarifying design instructions**

I see that only the circle has a black border, while the others have a wavy pattern with a red border. I think I'll phrase it as ""checkerboard-patterned circle with a black outline."" Also, I can't mention the dashed red box. So, I'll focus on providing a clear and simple command that captures these elements accurately without confusion. It's important to be precise here!"
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Pick the vertically striped circle with the red border (not the one with the blue border).,"**Identifying objects clearly**

I need to identify a target object, which is a striped circle with a red border, without relying on its position relative to other objects. There are also hidden items that aren't visible, so I must ensure the description is unique based on what can be seen. The key difference is the outer border color: red versus blue for another visible circle. While some hidden items could also be similar, we can only work with what’s visible."
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Pick the gray **striped triangle** with a **blue outline**.,"**Describing shape properties**

I'm focusing on how to clearly describe a triangle with a blue border and vertical grey stripes, distinguishing it from others. The other shapes include wavy patterns and squares in green and red, a star with a blue outline and wavy edges, and a circle that has a green outline. I’ll emphasize that it's solely the triangle shape with vertical stripes and avoid any spatial cues to keep it concise."
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Select the gray circle filled with wavy lines and surrounded by a red border (not the gray polka‑dot circle with a black border).,"**Describing target shapes**

I'm in a referential game, needing to describe a target in a 3x3 grid. One cell shows a wavy grey circle with a red outline, while another has a dotted pattern circle with a black outline. I can't use positional terms and must rely on unique features to help the listener identify the target among known shapes, including hidden ones. I might say, ""It's the gray circle with wavy horizontal stripes and a red border"" to emphasize its distinctiveness."
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Select the square picture that has vertical gray stripes inside a red square frame (not the polka‑dot circle and not any red curtain).,"**Describing target objects**

I need to come up with a clear description for a square that has vertical gray stripes and a red border. There are also other items like a gray polka dot circle with a red border, some blank white squares, and two red curtain tiles. I can't use spatial terms like ""bottom right,"" so I'll focus on appearance. I can say, “the square image with vertical gray stripes inside a red frame,"" to avoid confusion."
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","Pick the gray square filled with repeating wavy lines (curvy horizontal waves), not the one with straight vertical stripes.","**Selecting target description**

I need to create a referring expression to identify a target object, which is a dashed red box around a gray wavy pattern. There are other elements: vertical gray stripes with a green box and two hidden red curtains. I shouldn't rely on spatial positions, but I need to ensure that the description uniquely identifies the wavy pattern versus the stripes and anything behind the curtains. While we can't guarantee the contents behind the curtains, we should describe the target effectively."
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",Select the grey triangle with a black outline and a wavy striped pattern inside.,"**Creating unique object descriptions**

I’m working on a reference game where I need to describe an object without using spatial terms. The target object is a dashed red box around a triangle with a wavy fill and a black outline. There are also circles and a star, but I want to focus on the triangle. I can describe it as ""the triangle with wavy stripes inside"" since it’s the only triangle among the shapes. That should ensure clear communication!"
