image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture,listener_question,listener_answer,listener_answer_correct,
exp2_001.jpeg,cond2,absent,present,2,striped triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 3",yes,
exp2_002.jpeg,cond4,present,present,4,the gray checkerboard pattern,1,no,no,yes,Imagine someone is talking to you and tells you 'the gray checkerboard pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes,
exp2_003.jpeg,cond3,present,absent,4,gray wavy circle,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray wavy circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes,
exp2_004.jpeg,cond1,absent,absent,3,blue-bordered gray checkerboard square,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-bordered gray checkerboard square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 3",yes,
exp2_005.jpeg,cond2,absent,present,3,the wavy square,2,yes,no,yes,Imagine someone is talking to you and tells you 'the wavy square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes,
exp2_006.jpeg,cond2,absent,present,4,the checkerboard circle with the black outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the checkerboard circle with the black outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 1",yes,
exp2_007.jpeg,cond4,present,present,3,Red-outlined striped circle.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Red-outlined striped circle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes,
exp2_008.jpeg,cond1,absent,absent,4,striped triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,3 1,yes,
exp2_009.jpeg,cond4,present,present,2,Red-outlined circle with grey wavy stripes.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Red-outlined circle with grey wavy stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 1",yes,
exp2_010.jpeg,cond3,present,absent,3,red square with vertical gray stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red square with vertical gray stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 2",yes,
exp2_011.jpeg,cond4,present,present,2,the gray wavy pattern,1,no,no,yes,Imagine someone is talking to you and tells you 'the gray wavy pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes,
exp2_012.jpeg,cond1,absent,absent,4,wavy triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'wavy triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes,
exp2_013.jpeg,cond2,absent,present,2,the red-bordered grey polka-dot square,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the red-bordered grey polka-dot square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,3 2,yes,
exp2_014.jpeg,cond2,absent,present,4,red outline star with checkerboard fill,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red outline star with checkerboard fill' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes,
exp2_015.jpeg,cond4,present,present,2,Green triangle with dotted pattern.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Green triangle with dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes,
exp2_016.jpeg,cond1,absent,absent,2,the dotted square,2,yes,no,yes,Imagine someone is talking to you and tells you 'the dotted square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes,
exp2_017.jpeg,cond3,present,absent,4,the striped green star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the striped green star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes,
exp2_018.jpeg,cond3,present,absent,3,the blue-outlined grey polka-dot star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the blue-outlined grey polka-dot star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 1, Row 1",yes,
exp2_019.jpeg,cond4,present,present,3,triangle with dots,2,yes,no,yes,Imagine someone is talking to you and tells you 'triangle with dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes,
exp2_020.jpeg,cond4,present,present,3,the triangle with dots inside,2,yes,no,yes,Imagine someone is talking to you and tells you 'the triangle with dots inside' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 1",yes,
exp2_021.jpeg,cond1,absent,absent,3,Red-outlined gray striped triangle.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Red-outlined gray striped triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes,
exp2_022.jpeg,cond1,absent,absent,4,the gray vertically striped square with a black outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the gray vertically striped square with a black outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,3 1,yes,
