image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Select the **triangle** that has a **thick black outline** and is filled with **vertical gray stripes** (not the wavy-pattern triangle).,none
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the **gray-and-white checkerboard pattern** image — it has a **thick blue border** around the square.,none
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","Select the **gray circle filled with wavy zigzag lines**, outlined with a **reddish ring** (the only circular patterned object).",none
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3","Select the **square tile with a gray-and-white checkerboard pattern**, outlined with a **blue border**.",none
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** that’s filled with **gray-and-white wavy (zigzag) stripes**.,none
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with a thick black outline** that has a **gray-and-white checkerboard pattern inside**.,none
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the **circle filled with vertical gray stripes that has a red outline** (the other similar striped circle has a blue outline).,none
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Select the **triangle** with a **thick blue outline** and **vertical gray stripes inside**.,none
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Select the circle with the gray wavy (zigzag) pattern inside and a red outline.,none
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Select the tile that shows **vertical gray stripes inside a pink/red square frame** (a striped square icon).,none
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",Select the square tile with **gray wavy (zigzag) horizontal stripes** inside a **dark border**.,none
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",Select the **triangle** with a **thick black outline** that’s filled with **gray wavy (zigzag) lines**.,none
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","Select the **square with many small gray polka dots**, framed by a **red border** (the dotted-pattern tile).",none
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",Select the **five-point star with a red outline** and a **gray checkerboard pattern inside**.,none
