image_file,condition,occlusion,distractor,non_target,speaker_answer
exp2_001.jpeg,cond2,absent,present,2,the triangle with vertical straight stripes
exp2_002.jpeg,cond4,present,present,4,
exp2_003.jpeg,cond3,present,absent,4,Select the grey circle with white wavy stripes and a red outline.
exp2_004.jpeg,cond1,absent,absent,3,Select the blue-outlined square with a gray checkerboard pattern inside.
exp2_005.jpeg,cond2,absent,present,3,Select the blue-outlined square that has a gray wavy (wave-like
exp2_006.jpeg,cond2,absent,present,4,Pick the circle with a checkerboard pattern inside and a plain black border.
exp2_007.jpeg,cond4,present,present,3,Select the vertically striped gray-and-white circle with the reddish border (not the one with the blue border).
exp2_008.jpeg,cond1,absent,absent,4,Pick the blue-outlined triangle with vertical stripes.
exp2_009.jpeg,cond4,present,present,2,Pick the circle that has gray wavy lines inside and a red border (not the one with dots).
exp2_010.jpeg,cond3,present,absent,3,
exp2_011.jpeg,cond4,present,present,2,Pick the square that has gray background with repeating white wavy horizontal lines (not the one with straight vertical stripes).
exp2_012.jpeg,cond1,absent,absent,4,Pick the grey triangle with the wavy pattern and thick black outline.
exp2_013.jpeg,cond2,absent,present,2,Pick the square with a pink border that has a gray polka‑dot pattern inside.
exp2_014.jpeg,cond2,absent,present,4,Select the star with a red outline and a gray checkerboard pattern inside.
exp2_015.jpeg,cond4,present,present,2,"Select the **green triangle with a gray polka‑dot pattern inside, not the blue triangle with the checkerboard pattern.**"
exp2_016.jpeg,cond1,absent,absent,2,Pick the green-outlined square that has the same gray dot pattern as the red-outlined circle.
exp2_017.jpeg,cond3,present,absent,4,Select the green
exp2_018.jpeg,cond3,present,absent,3,
exp2_019.jpeg,cond4,present,present,3,"Select the gray triangle with a red border and small dots inside it, not the gray triangle with wavy lines and a blue border."
exp2_020.jpeg,cond4,present,present,3,
exp2_021.jpeg,cond1,absent,absent,3,Select the vertically striped triangle with the red outline.
exp2_022.jpeg,cond1,absent,absent,4,Select the gray square with vertical stripes and a thick black outline.
exp2_023.jpeg,cond2,absent,present,4,
exp2_024.jpeg,cond2,absent,present,2,Select the green-outlined triangle with vertical gray stripes inside.
exp2_025.jpeg,cond3,present,absent,2,Pick the blue-outlined five-pointed star that has a gray polka‑dot pattern inside.
exp2_026.jpeg,cond4,present,present,2,"Select the visible star whose inside is a gray checkerboard pattern, not the star with vertical stripes and not anything behind a red curtain."
exp2_027.jpeg,cond3,present,absent,2,
exp2_028.jpeg,cond2,absent,present,3,Select the triangle with the blue outline and dotted interior.
exp2_029.jpeg,cond1,absent,absent,4,Select the gray wavy circle with the red border.
exp2_030.jpeg,cond2,absent,present,3,Select the green-outlined circle with the gray wavy pattern inside.
exp2_031.jpeg,cond3,present,absent,3,Select the green-outlined circle with a gray checkerboard pattern inside.
exp2_032.jpeg,cond3,present,absent,4,
