image_file,condition,occlusion,distractor,non_target,speaker_answer,listener_question
exp2_001.jpeg,cond2,absent,present,2,Select the triangle that has vertical stripes.,Imagine someone is talking to you and tells you 'Select the triangle that has vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_002.jpeg,cond4,present,present,4,Select the square with the checkerboard pattern.,Imagine someone is talking to you and tells you 'Select the square with the checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_003.jpeg,cond3,present,absent,4,Select the circle that has a red border and is filled with wavy lines.,Imagine someone is talking to you and tells you 'Select the circle that has a red border and is filled with wavy lines.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_004.jpeg,cond1,absent,absent,3,Select the square that has a grey and white checkerboard pattern inside.,Imagine someone is talking to you and tells you 'Select the square that has a grey and white checkerboard pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_005.jpeg,cond2,absent,present,3,The square with the blue border and the wavy pattern inside.,Imagine someone is talking to you and tells you 'The square with the blue border and the wavy pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_006.jpeg,cond2,absent,present,4,The circle with the checkerboard pattern.,Imagine someone is talking to you and tells you 'The circle with the checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_007.jpeg,cond4,present,present,3,The circle with the red border.,Imagine someone is talking to you and tells you 'The circle with the red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_008.jpeg,cond1,absent,absent,4,Select the object with the vertical stripes.,Imagine someone is talking to you and tells you 'Select the object with the vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_009.jpeg,cond4,present,present,2,Select the circle that has wavy lines inside it.,Imagine someone is talking to you and tells you 'Select the circle that has wavy lines inside it.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_010.jpeg,cond3,present,absent,3,Select the square with the vertical grey stripes and a red border.,Imagine someone is talking to you and tells you 'Select the square with the vertical grey stripes and a red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_011.jpeg,cond4,present,present,2,It's the square with the wavy gray and white pattern inside a black border.,Imagine someone is talking to you and tells you 'It's the square with the wavy gray and white pattern inside a black border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_012.jpeg,cond1,absent,absent,4,Select the triangle with the wavy pattern inside.,Imagine someone is talking to you and tells you 'Select the triangle with the wavy pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
