image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Select the **upright triangle with a thick black outline that’s filled with vertical gray stripes** (not the triangle or star filled with wavy lines).,"**Clarifying shape selection**

I’m aiming to provide clear instructions for selecting a triangle with vertical stripes in the bottom right cell. I can't use spatial terms, but I can describe it: it has a black outline filled with vertical gray stripes. There are also other shapes, such as a triangle with a wavy pattern and a star with a wavy pattern. I'll differentiate by focusing on the striped pattern, confirming that the choice should be the striped triangle."
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the image that looks like a **checkerboard/chessboard pattern**—alternating **gray and white squares** inside a **thick blue square frame**.,"**Describing visual elements**

I need to provide a clear description without using any spatial terms. The target is a checkered board pattern that's framed by a blue border, featuring grey and white squares. Additionally, there’s a star with polka dots and a wavy pattern within a green border. There are two curtains and some blank spaces. So, I think the best unique description would be: ""square with blue frame and checkerboard pattern of grey and white."" I'll make sure to offer that!"
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","Select the **round gray circle** that’s filled with **repeating white wavy lines**, and has a **thick reddish/pink outline**.","**Describing target object**

I need to describe the target object within the red dashed box without using spatial references. The key features to highlight are a gray circle adorned with wavy stripes and a pinkish/red outline. I'll also mention the circle’s red border and its gray background. My instruction should clearly state to choose that based on these attributes, ensuring everything is understandable for the user. Let's keep it straightforward!"
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3","Select the **square** image that looks like a **gray-and-white checkerboard**, framed by a **thick blue border**.","**Clarifying target description**

I need to create a referential description for a target using a 3x3 grid format. At the top, there's a triangle in the middle, and the bottom row has three stars: a green one with polka dots, a blue one with stripes, and the target itself, which is a square tile with a checkerboard pattern in gray and white, surrounded by a blue border. I want to avoid using spatial terms and focus on describing the shapes clearly."
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** filled with **gray-and-white wavy (zigzag) horizontal stripes**.,"**Describing target object**

I’m focusing on creating a descriptive reference for the target object. I see a 3x3 grid. In the top row, there’s a blue triangle with a checker pattern on the left and a red square with a checker pattern in the middle. In the second row, there's a blue star with vertical stripes on the left, and in the middle is the target object — a blue-framed square featuring gray wavy lines. Got it!"
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard** pattern (not the red-outlined circle with wavy lines).,"**Describing the target object**

I need to refer to a specific target object. It's a circle outlined in black with a grey and white checkerboard fill. I should describe it non-spatially, so I'll focus on that black-outline circle with the checkerboard pattern. It's important to distinguish this from another circle that has a red outline and wave patterns. This clarity will help ensure I'm exactly identifying what I'm talking about."
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3","Select the circle with the **red outline** (a round disk filled with **vertical gray stripes**, unlike the similar one with a blue outline).","**Describing circles**

I need to focus on describing the target objects without referencing their positions. There's a red-rimmed circle featuring thick outlines filled with vertical gray stripes. Additionally, there’s another similar circle with a blue outline. I want to ensure that the red-rimmed striped circle stands out in my description. By providing clear details about these circles, I can convey the visual elements effectively while making sure to stay on task!"
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1","Select the **upright triangle with a thick blue outline**, filled with **vertical gray stripes** (not the wavy pattern).","**Describing target object**

I need to provide a description of the target object without using spatial location. It features a blue outlined triangle, which is upright and filled with vertical gray stripes—definitely no wavy patterns. I also note other shapes involved: a square with a wavy green border, a square with a wavy red border, a star with a wavy blue border, and a circle with a wavy green border. The triangle's stripes make the target stand out uniquely."
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","Select the circle with a **red outline** that’s filled with **gray-and-white wavy (zigzag) stripes**, like a rippling water pattern.",none
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","Select the image that looks like a square “barcode”: a white square filled with evenly spaced vertical gray stripes, framed by a thin red border.","**Crafting object description**

I need to describe the target object for the listener. It's organized in a 3x3 grid. In the top-left, there's a dotted circle, and two curtains with question marks appear in the top-middle and middle-left. The target is highlighted in the middle-right cell: it’s a square with vertical gray stripes and a red border. I must avoid using spatial terms, so I'll describe it as ""the square panel with vertical gray stripes, like a barcode,"" emphasizing the red border."
