image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought_summary,listener_answer_correct
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",the target is the triangle with vertical gray and white stripes.,,"['triangle', 'triangular']",['stripe'],True,False,True,"3, 3",,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",pick the square containing a grey and white checkerboard pattern framed by a solid blue border.,,['square'],['checker'],True,True,True,"Column 3, Row 2",,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","the target object is the gray circle with white wavy lines, which has a red border and is located inside a dashed red square.",,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True,"Column 1, Row 3",,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",select the square with a checkerboard pattern inside a blue outline.,,['square'],['checker'],True,True,True,"Column 3, Row 3",,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",the target object is the square with a wavy horizontal pattern inside and a blue border.,,['square'],"['wavy', 'zigzag']",True,True,True,"Column 2, row 3",,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",pick the circle with a thick black outline and a checkered pattern inside.,,"['circle', 'circular']",['checker'],True,True,True,"Column 2, Row 1",,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",please select the grey vertically-striped circle that has a red outline.,,"['circle', 'circular']",['stripe'],True,True,True,"Column 1, Row 3",,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the triangle with the blue outline and vertical stripes.,,"['triangle', 'triangular']",['stripe'],True,True,True,"Column 3, Row 1",,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",the target is the circle with grey and white horizontal wavy lines.,,"['circle', 'circular']","['wavy', 'zigzag']",True,False,True,"Column 1, Row 1",,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","the target object is the square containing vertical grey stripes, outlined by a solid red border.",,['square'],['stripe'],True,True,True,"Column 3, Row 2",,True
