image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3"
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2"
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3"
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3"
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3"
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1"
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3"
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1"
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1"
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2"
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3"
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3"
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2"
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2"
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2"
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3"
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3"
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1"
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1"
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1"
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2"
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1"
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2"
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2"
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3"
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1"
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3"
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1"
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3"
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2"
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1"
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3"
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3"
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3"
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2"
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1"
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1"
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3"
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1"
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3"
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1"
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3"
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1"
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3"
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1"
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1"
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3"
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3"
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1"
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3"
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3"
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1"
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1"
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1"
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3"
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2"
exp2_057.jpeg,cond4,present,present,3,"triangle, triangular",blue,"wavy, zigzag","3,1"
exp2_058.jpeg,cond3,present,absent,2,"circle, circular",green,dot,"3,3"
exp2_059.jpeg,cond3,present,absent,3,star,black,"wavy, zigzag","2,1"
exp2_060.jpeg,cond1,absent,absent,2,"circle, circular",red,"wavy, zigzag","2,1"
exp2_061.jpeg,cond3,present,absent,2,star,green,stripe,"2,1"
exp2_062.jpeg,cond1,absent,absent,4,square,green,dot,"2,3"
exp2_063.jpeg,cond2,absent,present,2,"triangle, triangular",red,stripe,"3,2"
exp2_064.jpeg,cond1,absent,absent,3,star,red,dot,"1,2"
exp2_065.jpeg,cond3,present,absent,2,square,blue,checker,"3,2"
exp2_066.jpeg,cond2,absent,present,4,"circle, circular",black,dot,"1,1"
exp2_067.jpeg,cond4,present,present,3,square,blue,"wavy, zigzag","2,1"
exp2_068.jpeg,cond4,present,present,4,star,black,stripe,"2,1"
exp2_069.jpeg,cond2,absent,present,2,square,green,dot,"1,1"
exp2_070.jpeg,cond1,absent,absent,4,square,green,checker,"1,3"
exp2_071.jpeg,cond4,present,present,3,square,black,checker,"1,2"
exp2_072.jpeg,cond3,present,absent,2,star,black,stripe,"3,2"
exp2_073.jpeg,cond4,present,present,2,star,green,stripe,"3,2"
exp2_074.jpeg,cond2,absent,present,3,square,black,"wavy, zigzag","1,3"
exp2_075.jpeg,cond1,absent,absent,2,star,red,"wavy, zigzag","3,2"
exp2_076.jpeg,cond1,absent,absent,2,"triangle, triangular",green,stripe,"1,3"
exp2_077.jpeg,cond3,present,absent,3,"circle, circular",blue,stripe,"1,3"
exp2_078.jpeg,cond4,present,present,4,"triangle, triangular",red,stripe,"2,1"
exp2_079.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2"
exp2_080.jpeg,cond3,present,absent,3,"triangle, triangular",blue,dot,"2,3"
exp2_081.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1"
exp2_082.jpeg,cond3,present,absent,2,"triangle, triangular",green,stripe,"2,1"
exp2_083.jpeg,cond1,absent,absent,3,star,red,dot,"3,3"
exp2_084.jpeg,cond4,present,present,4,"circle, circular",black,"wavy, zigzag","2,1"
exp2_085.jpeg,cond3,present,absent,2,"triangle, triangular",green,"wavy, zigzag","1,2"
exp2_086.jpeg,cond4,present,present,3,star,black,dot,"2,3"
exp2_087.jpeg,cond2,absent,present,3,star,black,checker,"1,2"
exp2_088.jpeg,cond1,absent,absent,4,"circle, circular",red,checker,"3,2"
exp2_089.jpeg,cond3,present,absent,4,square,black,dot,"3,3"
exp2_090.jpeg,cond3,present,absent,3,"triangle, triangular",green,dot,"3,2"
exp2_091.jpeg,cond1,absent,absent,3,square,black,"wavy, zigzag","2,1"
exp2_092.jpeg,cond2,absent,present,3,"triangle, triangular",red,dot,"1,3"
exp2_093.jpeg,cond4,present,present,3,square,red,"wavy, zigzag","3,2"
exp2_094.jpeg,cond2,absent,present,4,star,green,dot,"1,3"
exp2_095.jpeg,cond1,absent,absent,2,"circle, circular",blue,dot,"1,3"
exp2_096.jpeg,cond4,present,present,4,star,green,dot,"1,3"
exp2_097.jpeg,cond3,present,absent,3,square,black,stripe,"3,2"
exp2_098.jpeg,cond1,absent,absent,2,square,blue,stripe,"1,2"
exp2_099.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","2,3"
exp2_100.jpeg,cond4,present,present,2,square,green,dot,"3,2"
exp2_101.jpeg,cond4,present,present,2,"circle, circular",green,checker,"3,3"
exp2_102.jpeg,cond1,absent,absent,4,square,black,checker,"3,1"
exp2_103.jpeg,cond3,present,absent,2,square,red,dot,"2,1"
exp2_104.jpeg,cond2,absent,present,2,"circle, circular",green,stripe,"2,3"
exp2_105.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"2,1"
exp2_106.jpeg,cond4,present,present,4,"triangle, triangular",green,dot,"2,1"
