image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture,listener_question,listener_answer,listener_answer_correct
exp2_001.jpeg,cond2,absent,present,2,Striped triangle.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Striped triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 3",yes
exp2_002.jpeg,cond4,present,present,4,Choose the gray checkerboard pattern.,1,no,no,yes,Imagine someone is talking to you and tells you 'Choose the gray checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 3, Row 2",yes
exp2_003.jpeg,cond3,present,absent,4,Choose the wavy gray circle.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Choose the wavy gray circle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 1, Row 3",yes
exp2_004.jpeg,cond1,absent,absent,3,Select the blue-bordered checkered square.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Select the blue-bordered checkered square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 3, Row 3",yes
exp2_005.jpeg,cond2,absent,present,3,Select the wavy square.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Select the wavy square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 2, Row 3",yes
exp2_006.jpeg,cond2,absent,present,4,Choose the circle with a checkerboard pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Choose the circle with a checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 1",yes
exp2_007.jpeg,cond4,present,present,3,Choose the circle with a red outline.,2,yes,yes,no,Imagine someone is talking to you and tells you 'Choose the circle with a red outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 1, Row 3",yes
exp2_008.jpeg,cond1,absent,absent,4,Blue-outlined triangle with vertical stripes.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Blue-outlined triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 1",yes
exp2_009.jpeg,cond4,present,present,2,Choose the circle with the wavy pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Choose the circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 1",yes
exp2_010.jpeg,cond3,present,absent,3,Select the square with vertical gray stripes.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Select the square with vertical gray stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 3, Row 2",yes
exp2_011.jpeg,cond4,present,present,2,Choose the square with the wavy pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Choose the square with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_012.jpeg,cond1,absent,absent,4,Wavy triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'Wavy triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 2, Row 3",yes
exp2_013.jpeg,cond2,absent,present,2,Select the square with gray dots.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Select the square with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 2",yes
exp2_014.jpeg,cond2,absent,present,4,Select the star with a checkered pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Select the star with a checkered pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3, 2",yes
exp2_015.jpeg,cond4,present,present,2,Pick the triangle with a green border and polka dots.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Pick the triangle with a green border and polka dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 2",yes
exp2_016.jpeg,cond1,absent,absent,2,Select the square with the polka dot pattern.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Select the square with the polka dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes
exp2_017.jpeg,cond3,present,absent,4,Green star with vertical stripes.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Green star with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes
exp2_018.jpeg,cond3,present,absent,3,Choose the blue star with grey dots.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Choose the blue star with grey dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 1",yes
exp2_019.jpeg,cond4,present,present,3,Choose the gray triangle with dots.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Choose the gray triangle with dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 1",yes
exp2_020.jpeg,cond4,present,present,3,Select the triangle with dots inside.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Select the triangle with dots inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 1, Row 1",yes
exp2_021.jpeg,cond1,absent,absent,3,Striped triangle.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Striped triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_022.jpeg,cond1,absent,absent,4,Striped square.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Striped square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"Column 3, Row 1",yes
