seed,model,file_name,speaker_annotation,listener_file_name,listener_annotation,thinking_level/budget,temperature,max_output_tokens,exclusion,number_of_exclusion,listener_accuracy (before includding correct based on thought),listener_accuracy (after correction),other notes
1,gemini-2.5-flash,speaker-gemini-2.5-flash_1_none_1,,listener-gemini-2.5-flash_1_none,done,0,1,NA,"exp2_003.jpeg', 'exp2_004.jpeg', 'exp2_007.jpeg', 'exp2_012.jpeg', 'exp2_013.jpeg', 'exp2_016.jpeg', 'exp2_018.jpeg', 'exp2_020.jpeg', 'exp2_022.jpeg', 'exp2_026.jpeg', 'exp2_034.jpeg', 'exp2_037.jpeg', 'exp2_038.jpeg', 'exp2_041.jpeg', 'exp2_042.jpeg', 'exp2_044.jpeg', 'exp2_047.jpeg', 'exp2_048.jpeg', 'exp2_049.jpeg', 'exp2_050.jpeg', 'exp2_052.jpeg', 'exp2_055.jpeg', 'exp2_057.jpeg', 'exp2_060.jpeg', 'exp2_061.jpeg', 'exp2_065.jpeg', 'exp2_069.jpeg', 'exp2_071.jpeg', 'exp2_077.jpeg', 'exp2_079.jpeg', 'exp2_086.jpeg', 'exp2_089.jpeg', 'exp2_091.jpeg', 'exp2_092.jpeg', 'exp2_093.jpeg', 'exp2_098.jpeg', 'exp2_101.jpeg', 'exp2_102.jpeg', 'exp2_103.jpeg', 'exp2_109.jpeg', 'exp2_114.jpeg', 'exp2_116.jpeg', 'exp2_120.jpeg'",43,0.987012987,0.987012987,
1,gemini-2.5-flash,speaker-gemini-2.5-flash_1_low_1,,,done,2048,1,NA,"exp2_002.jpeg', 'exp2_044.jpeg', 'exp2_048.jpeg'",3,0.974358974,0.974358974,exp2_044 incorrect but also wrong description (excluded); exp2_034 is ambiguous: the model relied on the linear order to identify the incorrect one
1,gemini-2.5-flash,speaker-gemini-2.5-flash_1_medium_1,,,done,8192,1,NA,"exp2_013.jpeg', 'exp2_034.jpeg', 'exp2_048.jpeg', 'exp2_065.jpeg', 'exp2_071.jpeg'",5,0.965217391,0.982608696,"exp2_034 correct based on thought but mention dashed box (excluded) three correct based on thoughts (exp2_025,exp2_034, exp2_119)"
1,gemini-2.5-flash,speaker-gemini-2.5-flash_1_high_1,,,done,24576,1,NA,"exp2_041.jpeg', 'exp2_071.jpeg",2,0.966101695,0.974576271,one wrong description (exp2_034); one correct baesd on thoughts (exp2_085)
1,gemini-2.5-pro,speaker-gemini-2.5-pro_1_none_1,,listener-gemini-2.5-pro_1_none_1,done,128,1,NA,"exp2_008.jpeg', 'exp2_009.jpeg', 'exp2_013.jpeg', 'exp2_023.jpeg', 'exp2_028.jpeg', 'exp2_031.jpeg', 'exp2_034.jpeg', 'exp2_041.jpeg', 'exp2_047.jpeg', 'exp2_065.jpeg', 'exp2_068.jpeg', 'exp2_079.jpeg', 'exp2_091.jpeg', 'exp2_098.jpeg', 'exp2_100.jpeg', 'exp2_102.jpeg', 'exp2_103.jpeg', 'exp2_104.jpeg', 'exp2_115.jpeg'",19,0.752475248,0.752475248,"exp2_028, exp2_034, exp2_047, exp2_065, exp2_079, exp2_100 incorrect also use relative location/mention dashed border (exclude)"
1,gemini-2.5-pro,speaker-gemini-2.5-pro_1_low_1,,listener-gemini-2.5-pro_1_low_1,done,2048,1,NA,"exp2_034.jpeg', 'exp2_048.jpeg'",2,0.923728814,0.923728814,
1,gemini-2.5-pro,speaker-gemini-2.5-pro_1_medium_1,,listener-gemini-2.5-pro_1_medium_1,done,8192,1,NA,exp2_048.jpeg',1,0.932773109,0.932773109,034: speaker description: does not have a black border (the competitor) to refer to the red one
1,gemini-2.5-pro,speaker-gemini-2.5-pro_1_high_1,,listener-gemini-2.5-pro_1_high_1,done,32768,1,NA,exp2_048.jpeg',1,0.932773109,0.941176471,one correct baesd on thought (exp2_111)
1,gemini-3-flash,speaker-gemini-3-flash_1_minimal_1,,listener-gemini-3-flash_1_minimal_1,done,minimal,1,NA,"exp2_003.jpeg', 'exp2_027.jpeg', 'exp2_048.jpeg', 'exp2_103.jpeg', 'exp2_112.jpeg'",5,1,1,
1,gemini-3-flash,speaker-gemini-3-flash_1_low_1,,listener-gemini-3-flash_1_low_1,done,low,1,NA,exp2_015.jpeg',1,1,1,
1,gemini-3-flash,speaker-gemini-3-flash_1_medium_1,,listener-gemini-3-flash_1_medium_1,done,medium,1,NA,exp2_072.jpeg',1,1,,
1,gemini-3-flash,speaker-gemini-3-flash_1_high_1,,listener-gemini-3-flash_1_high_1,done,high,1,NA,"exp2_050.jpeg', 'exp2_109.jpeg'",2,1,1,
1,gemini-3-pro,speaker-gemini-3_1_low_1,,listener-gemini-3_1_low_1,done,low,1,NA,"exp2_034.jpeg', 'exp2_038.jpeg', 'exp2_047.jpeg', 'exp2_086.jpeg', 'exp2_089.jpeg'",5,1,,
1,gemini-3-pro,speaker-gemini-3_1_high_1,,listener-gemini-3_1_high_1,done,high,1,,,0,1,1,
1,gpt-5.1,speaker-gpt-5.1_1_none,,listener-gpt-5.1_1_none,done,none,1,256,,,0.966666667,,wrong description (exp2_005)
1,gpt-5.1,speaker-gpt-5.1_1_none_1,,listener-gpt-5.1_1_none_1,done,none,1,1024,exp2_071.jpeg',1,0.991596639,0.991596639,exp2_071 is incorrect and also uses relative position (excluded)
1,gpt-5.1,speaker-gpt-5.1_1_low,,listener-gpt-5.1_1_low,done,low,not supported,256,,,0.991666667,,
1,gpt-5.1,speaker-gpt-5.1_1_low_1,,listener-gpt-5.1_1_low_1,done,low,not supported,1024,"exp2_007.jpeg', 'exp2_010.jpeg', 'exp2_011.jpeg', 'exp2_050.jpeg', 'exp2_072.jpeg', 'exp2_089.jpeg', 'exp2_100.jpeg', 'exp2_103.jpeg', 'exp2_120.jpeg",9,0.990990991,0.990990991,all excluded items: not behind the curtain
1,gpt-5.1,speaker-gpt-5.1_1_medium_1,,listener-gpt-5.1_1_medium_1,done,medium,not supported,1024,,,1,,
1,gpt-5.1,speaker-gpt-5.1_4_high,,listener-gpt-5.1_4_high,done,high,not supported,2048,,,1,,
1,gpt-5.1,speaker-gpt-5.1_1_high_1,,listener-gpt-5.1_1_high_1,done,high,not supported,1024,,0,1,1,
1,gpt-5.2,speaker-gpt-5.2_1_none_1,,listener-gpt-5.2_1_none_1,done,none,1,256,,0,1,,
1,gpt-5.2,speaker-gpt-5.2_1_low_1,,listener-gpt-5.2_1_low_1,done,low,not supported,256,"exp2_077.jpeg', 'exp2_097.jpeg'",2,1,1,
1,gpt-5.2,speaker-gpt-5.2_1_medium_1,,listener-gpt-5.2_1_medium_1,done,medium,not supported,256,"exp2_086.jpeg', 'exp2_097.jpeg'",2,1,1,
