image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",select the **triangle** that has a **thick black outline** and is filled with **vertical gray stripes** (not the wavy-pattern triangle).,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the **gray-and-white checkerboard pattern** image — it has a **thick blue border** around the square.,none,['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","select the **gray circle filled with wavy zigzag lines**, outlined with a **reddish ring** (the only circular patterned object).",none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3","select the **square tile with a gray-and-white checkerboard pattern**, outlined with a **blue border**.",none,['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **square with a thick blue border** that’s filled with **gray-and-white wavy (zigzag) stripes**.,none,['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that has a **gray-and-white checkerboard pattern inside**.,none,"['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the **circle filled with vertical gray stripes that has a red outline** (the other similar striped circle has a blue outline).,none,"['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **triangle** with a **thick blue outline** and **vertical gray stripes inside**.,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the circle with the gray wavy (zigzag) pattern inside and a red outline.,none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",select the tile that shows **vertical gray stripes inside a pink/red square frame** (a striped square icon).,none,['square'],['stripe'],True,True,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",select the square tile with **gray wavy (zigzag) horizontal stripes** inside a **dark border**.,none,['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",select the **triangle** with a **thick black outline** that’s filled with **gray wavy (zigzag) lines**.,none,"['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","select the **square with many small gray polka dots**, framed by a **red border** (the dotted-pattern tile).",none,['square'],['dot'],True,True,True
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",select the **five-point star with a red outline** and a **gray checkerboard pattern inside**.,none,['star'],['checker'],True,True,True
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",select the triangle with a **green outline** and a **light gray interior filled with dark polka dots** (not the blue checkerboard triangle).,none,"['triangle', 'triangular']",['dot'],True,True,True
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",select the **square** (not a circle) that has a **green border** and is filled with **small gray polka dots** on a light background.,none,['square'],['dot'],True,True,True
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",select the **green outlined five-point star** that has **vertical gray stripes inside** it.,none,['star'],['stripe'],True,True,True
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",select the **five-pointed star** with a **thick blue outline** and a **white interior filled with small gray polka dots**.,none,['star'],['dot'],True,True,True
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",select the **upright triangle with a red outline** and **gray polka-dot interior**.,none,"['triangle', 'triangular']",['dot'],True,True,True
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",select the **upright triangle** that has a **thick black outline** and is filled with **small gray polka dots**.,none,"['triangle', 'triangular']",['dot'],True,True,True
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",select the **triangle** with a **thick red outline** and **vertical gray stripes** inside.,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",select the **square** shape with a **thick black outline** that’s filled with **vertical gray stripes**.,none,['square'],['stripe'],True,True,True
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",select the **circle with a green outline** that’s filled with **gray polka dots** (a dotted green ring).,none,"['circle', 'circular']",['dot'],True,True,True
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",select the **green-outlined upright triangle** filled with **vertical gray stripes**.,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",select the **five-pointed star** with a **blue outline** and a **gray polka-dotted center**.,none,['star'],['dot'],True,True,True
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",select the **five-pointed star with a gray-and-white checkerboard pattern inside** (outlined in black).,none,['star'],['checker'],True,True,True
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",select the **five-pointed star** with a **blue outline** and a **gray checkered (checkerboard) center**.,none,['star'],['checker'],True,True,True
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",select the dotted triangle with a thick **blue** outline (light gray polka-dot fill).,none,"['triangle', 'triangular']",['dot'],True,True,True
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",select the **circle** with a **red outline** that’s filled with a **gray-and-white wavy pattern** (looks like repeating squiggle waves).,none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",select the **circle with a green outline** that’s filled with **gray wavy (zigzag) stripes**.,none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",select the **circle** with a **thick green outline** and a **gray-and-white checkerboard pattern** inside.,none,"['circle', 'circular']",['checker'],True,True,True
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",select the **red outlined triangle** that’s filled with **vertical gray stripes** (a striped triangle with a red border).,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",select the **green-outlined five-point star** that has a **gray-and-white vertical striped** fill.,none,['star'],['stripe'],True,True,True
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",select the **square** tile filled with **gray polka dots** and outlined with a **thin red border** (not the black-outlined square).,none,['square'],['dot'],True,True,True
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2","select the **five-point star with a thick black outline** and a **gray polka-dotted interior** (the black-outlined star, not the green one).",none,['star'],['dot'],True,True,True
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",select the **five-point star with a bright green outline** and a **white interior filled with gray polka dots** (not the blue striped star).,none,['star'],['dot'],True,True,True
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1",select the **triangle-shaped sign**: a black-outlined triangle filled with **gray wavy zigzag lines**.,none,"['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3",select the image that shows a **gray-and-white vertically striped circle with a thick reddish outline**.,none,"['circle', 'circular']",['stripe'],True,True,True
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1","select the **upright triangle with a thick blue outline**, filled with **gray-and-white wavy stripes** (not the dotted triangle).",none,"['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",select the **square** that has a **thick blue outline** and is filled with **vertical gray stripes**.,none,['square'],['stripe'],True,True,True
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",select the **gray polka-dot circle with the red outline** (the dotted circle bordered in red).,none,"['circle', 'circular']",['dot'],True,True,True
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",select the **circle/oval with a red outline** that’s filled with **gray-and-white wavy stripes** (like a ripple pattern).,none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",select the **green-outlined five-point star** whose interior has **gray wavy zigzag stripes** (not straight vertical stripes).,none,['star'],"['wavy', 'zigzag']",True,True,True
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3","select the **square tile filled with evenly spaced gray polka dots** (a dotted pattern in a square frame, not a circle).",none,['square'],['dot'],True,False,True
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",select the **upright triangle** that has **vertical gray stripes inside** and a **thick black outline**.,none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",select the **five-point star** with a **red outline** and a **gray-and-white wavy pattern** inside.,none,['star'],"['wavy', 'zigzag']",True,True,True
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",select the square tile with **vertical gray-and-white stripes** (like a barcode/picket-fence pattern).,none,['square'],['stripe'],True,False,True
