image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Select the **triangle** that has **vertical gray stripes** inside it (not the wavy-pattern triangle or the star).,"**Identifying shapes for selection**

I need to provide a description that doesn't depend on location. My target is a triangle that has a black outline and is filled with vertical grey stripes. There are also other shapes: a triangle with a wavy pattern and a star that features a similar wavy design. I should specifically mention the striped triangle and instruct to choose the one with vertical stripes. It's about clarity in selecting the right shape!"
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","Select the square tile that has a gray-and-white checkerboard pattern, framed by a thick blue border.","**Describing the target object**

I'm looking to create a descriptive reference for a specific object, which is a checkerboard pattern square framed in blue, sitting in the middle right cell with a red dashed box around it. I want to avoid using absolute positions. There are other elements, like a star icon in the top left and some hidden curtains. The target is essentially a gray-and-white checkerboard inside a blue framework, distinct from a wavy green frame."
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the **round circle icon** with a **reddish outline** and a **gray interior filled with repeating wavy (zigzag) stripes**.,"**Describing the target cell**

I need a clear description for the bottom-left cell, which has a circle shape with a red border. Inside the circle, there's a gray wavy pattern. When I provide this to my partner, I should focus on the shape, the pattern inside, and the border color. I want to avoid any spatial references to keep it simple and straightforward. Let's make sure to get all the details right!"
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Select the **square tile with a blue border** that contains a **gray-and-white checkerboard pattern** (like a chessboard).,"**Describing the target image**

I need to clearly describe the target to make it easy for others to identify. It's a blue-outlined square featuring a black and gray checkerboard pattern, likely arranged in a 3x3 grid. To keep it simple and non-spatial, I can say it’s a blue-outlined square checkerboard. My instruction would be to select the image of the checkerboard square with the blue frame, ensuring they understand exactly what to look for!"
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** that’s filled with **repeating gray-and-white wavy (sine-wave) stripes**.,"**Describing target object**

I need to provide a clear description for the target object that is in a dashed box. It looks like it’s positioned in the middle of a 3x3 grid. The specific object I need to describe is a blue-bordered square filled with a wavy gray and white pattern. I should avoid spatial references and focus on unique features: it has a blue frame and the interior shows repeating wavy lines, like a sine wave."
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard (square grid) pattern**.,"**Providing description for reference**

I need to give a clear description of the target shape. It's a circle with a thick black outline and a gray/white checkerboard pattern inside. I should make sure to mention this is distinct from another shape that has a red circle with wavy lines. I want to be succinct and focus on the key features — that it's circular with a black border and the unique checkerboard inside. That should keep it straightforward!"
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the circle filled with vertical gray stripes that has a **red outline** (not the similar striped circle with a blue outline).,"**Considering object description**

I need to create a descriptive reference for a target object. It’s a circle featuring vertical grey stripes with a striking red rim. There’s another circle that has a blue rim. Additionally, there are two hidden curtains involved. I’ll focus on providing a non-spatial description and emphasize the characteristics of the red-bordered striped circle without mentioning any specific location. It's crucial to keep it clear and concise!"
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Select the upright **triangle** with a **thick blue outline** and **gray vertical stripes** filling the inside.,"**Describing the triangle**

I need to focus on describing a triangle that has a blue outline and vertical gray stripes inside. I should keep it simple by stating that it’s an upright triangle with a blue border and gray stripes. It seems I should avoid mentioning any specific position, like top-right. The goal is to give clear instructions on what the object looks like without complicating it further!"
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Select the circle with a **red outline** that’s filled with **gray-and-white wavy (zigzag) stripes**.,"**Describing the target**

I need to create a description without any spatial references. The image is organized in a grid of 2 columns and 3 rows. In the left column's top row, there's a circle featuring a wavy pattern within a red border, which is my target. I'll describe it as ""the circle with a wavy zigzag pattern and a red border."" It's important not to mention any specific positions in the description."
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","Select the tile that looks like a **barcode**: a **white square filled with evenly spaced vertical gray stripes**, surrounded by a **red border/frame**.","**Describing the target design**

I need to provide a clear description of the target design for the user. It's characterized by gray vertical stripes arranged in a square with a red border. I should avoid discussing spatial details and instead focus on the pattern, describing it as barcode-like vertical gray stripes against a white background, enclosed by a bold red frame. This should give a concise yet vivid image of the target’s appearance."
