image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",The target is a triangle with vertical stripes.,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",The target is the checkered square with a blue border.,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","The target is the circle in the bottom left, the only circle in the image.",
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",The object I want you to select is in the bottom right corner. It is a checkerboard pattern outlined in blue.,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",The object I'm referring to is a square with a blue border that contains a grey pattern of horizontal wavy lines.,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",The object is a black-bordered circle filled with a gray and white checkerboard pattern.,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3","The image you're looking for is the one with the red dashed outline. It's in the bottom left corner of the grid, showing a grey circle with vertical white stripes inside.",
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",The target is the blue triangle with vertical stripes.,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","The target image is the gray circle with squiggly lines inside, outlined in red.",
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",The object is a square with gray and white vertical stripes.,
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","The target is a square with a black border, containing a wavy pattern of alternating light gray and dark gray horizontal stripes.",
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3","The shape in the bottom row, second column, is a triangle.",
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","The target is the square with the dotted pattern, located to the right of the chessboard.",
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",The target is the star with a red outline and a checkered pattern inside.,
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",The target is the green-outlined triangle filled with grey dots.,
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",The target object is a square with a green border and gray polka dots inside. It is located directly below the space between the blue and red circles.,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",The object I'm referring to is the green star with vertical stripes inside.,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1","The target is in the top left corner, and it's a blue star with a dotted gray fill.",
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",The target is the red-outlined triangle filled with gray dots.,
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",The target is the top-left image. It's a triangle filled with grey dots.,
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",The target is the red-bordered triangle with vertical grey and white stripes.,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",The target is the square in the top right corner.,
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",The target is the green-outlined circle filled with gray dots.,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",The target is the green-outlined triangle with vertical stripes.,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",The target is the star with grey dots inside and a blue outline.,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1","The target is a star with a checkerboard pattern inside it, in the top left square.",
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",The target is the star with a checkered pattern inside.,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",The target is the blue triangle.,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3","The target is the gray circle with wavy lines, outlined in red.",
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",The target is a circle with a green outline and a grey wavy pattern inside.,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1","The target object is a circle that has a checkered pattern inside, with a green outline.",
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",The object is a triangle with vertical stripes.,
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",The target is the star with a green outline and vertical stripes inside.,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3","The target is a square with a black outline, filled with a grid of grey dots, located on the bottom row.",
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",Please select the star that has a black outline and is filled with gray dots.,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",The target is the green star with a pattern of small black dots inside it.,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1","The target is the gray triangle with wavy lines inside it, in the top left cell.",
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3","The object is a grid of grey and white vertical stripes within a red circle, outlined by a dashed red square.",
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1","The object you are looking for is a triangle with a blue border. Inside the triangle, there's a gray wavy pattern.",
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",The target is the square with a blue outline and vertical stripes.,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",The target is the circle filled with gray dots in the top right corner.,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",The target is the grey circle with wavy lines and a red border in the bottom right corner.,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",Please select the star that has a wavy pattern inside.,
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3","The object is in the bottom row, and it's the one with the grid of small grey circles.",
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",The image I want you to select is the only triangle on the board.,
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",The target is the star with a red outline and a wavy pattern inside.,
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",The image is a grid. The target is the bottom-left box.,
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3","The target object is a square with gray vertical stripes, framed by a dashed red border. It is located to the right of another square with identical gray vertical stripes, which has a solid blue border.",
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",The target is in the top-left square. It's a vertical striped square with a green outline.,
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"3,3","The target is the star with vertical gray and white stripes inside, that is in the bottom row, middle column.",
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",The image I want you to select is a black outlined triangle with a wavy grey fill.,
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1","The target is the black outlined triangle in the top middle, which has a checkered pattern inside.",
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",The target is the red-outlined triangle with gray vertical stripes.,
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",The target object is a triangle with a green outline and a checkerboard pattern inside.,
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3","The target is a blue triangle filled with dots, located in the bottom right corner.",
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2",The object I'm referring to is a blue-outlined triangle with a wavy grey pattern inside.,
exp2_057.jpeg,cond4,present,present,3,"triangle, triangular",blue,"wavy, zigzag","3,1","The target is the triangle in the top right, with a wavy pattern inside and a blue border.",
exp2_058.jpeg,cond3,present,absent,2,"circle, circular",green,dot,"3,3",The target is a green circle filled with gray dots.,
exp2_059.jpeg,cond3,present,absent,3,star,black,"wavy, zigzag","2,1",The image I want you to select is a white star with a black outline and a grey wavy pattern filling it.,
exp2_060.jpeg,cond1,absent,absent,2,"circle, circular",red,"wavy, zigzag","2,1",The target is the circle in the top middle row.,
exp2_061.jpeg,cond3,present,absent,2,star,green,stripe,"2,1","The object is a green outline of a star with vertical stripes inside, located in the top center of the grid.",
exp2_062.jpeg,cond1,absent,absent,4,square,green,dot,"2,3",The object I'm referring to is the green square filled with dots.,
exp2_063.jpeg,cond2,absent,present,2,"triangle, triangular",red,stripe,"3,2",The target is the vertically striped triangle with a red outline.,
exp2_064.jpeg,cond1,absent,absent,3,star,red,dot,"1,2",The target object is a red star with a gray dotted pattern inside.,
exp2_065.jpeg,cond3,present,absent,2,square,blue,checker,"3,2",The image with the dashed red border around it is a chess board.,
exp2_066.jpeg,cond2,absent,present,4,"circle, circular",black,dot,"1,1","The object is a grey circle with small grey dots inside, and a thick black outline.",
exp2_067.jpeg,cond4,present,present,3,square,blue,"wavy, zigzag","2,1","The object you are looking for is a square with a solid blue border around a gray, wavy pattern.",
exp2_068.jpeg,cond4,present,present,4,star,black,stripe,"2,1",The target is the black outlined star with vertical stripes inside.,
exp2_069.jpeg,cond2,absent,present,2,square,green,dot,"1,1",The target is the square in the top left corner that is filled with small gray dots and has a green outline.,
exp2_070.jpeg,cond1,absent,absent,4,square,green,checker,"1,3",The target is the square with a green border and a checkerboard pattern.,
exp2_071.jpeg,cond4,present,present,3,square,black,checker,"1,2","The target is the checkerboard pattern that is in the middle row and in the first column, which is also partially hidden behind a red curtain.",
