image_file,condition,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,position_word,obj1shape,obj1color,obj1pattern,obj2shape,obj2color,obj2pattern,obj3shape,obj3color,obj3pattern,question_speaker,question_free_speaker,question_listener_1,question_listener_2,speaker_answer,answer1,answer2
cond4_001.jpeg,cond4,green,spotted,blue,striped,color,pattern,2,2,2,middle,triangle,blue,striped,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,"Green': $0  
'Spotted': $100",0,100
cond4_002.jpeg,cond4_diff,spotted,green,striped,blue,pattern,color,2,2_diff,2,middle,triangle,green,striped,triangle,green,spotted,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'green'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"Bet: 'green' 60, 'spotted' 40",40,60
cond4_003.jpeg,cond4,square,spotted,circle,striped,shape,pattern,2,2,2,middle,square,red,spotted,square,red,spotted,circle,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,"'spotted': 40  
'square': 60",60,40
cond4_004.jpeg,cond4_diff,circle,striped,square,spotted,shape,pattern,2,2_diff,2,middle,square,red,striped,circle,red,striped,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'striped'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"$30 on ""circle"", $70 on ""striped""",30,70
cond4_005.jpeg,cond4,blue,circle,green,square,color,shape,2,2,2,middle,square,green,checked,circle,blue,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'blue' or 'circle'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,"'Circle': $60  
'Blue': $40",40,60
cond4_006.jpeg,cond4,green,circle,blue,square,color,shape,2,2,3,rightmost,circle,green,checked,square,blue,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'green' or 'circle'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,"'circle': 60  
'green': 40",40,60
cond4_007.jpeg,cond4_diff,spotted,square,striped,circle,pattern,shape,2,2_diff,2,middle,square,red,striped,square,red,spotted,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'square'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"Bet: 
'spotted' - 50
'square' - 50",50,50
cond4_008.jpeg,cond4_diff,square,green,circle,blue,shape,color,2,2_diff,3,rightmost,square,blue,checked,circle,green,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'green'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"'Green': 90  
'Square': 10",10,90
cond4_009.jpeg,cond4,square,striped,circle,spotted,shape,pattern,2,2,3,rightmost,circle,red,spotted,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'striped'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"'striped': $80  
'square': $20",20,80
cond4_010.jpeg,cond4_diff,spotted,green,striped,blue,pattern,color,2,2_diff,2,middle,triangle,green,striped,triangle,green,spotted,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'green'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"'Spotted': 30  
'Green': 70",30,70
cond4_011.jpeg,cond4_diff,blue,square,green,circle,color,shape,2,2_diff,3,rightmost,square,green,checked,circle,blue,checked,square,blue,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'blue' or 'square'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'blue': 40  
'square': 60",40,60
cond4_012.jpeg,cond4,striped,square,spotted,circle,pattern,shape,2,2,1,leftmost,square,red,striped,circle,red,spotted,square,red,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'striped' or 'square'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'Striped': $50  
'Square': $50",50,50
cond4_013.jpeg,cond4,spotted,square,striped,circle,pattern,shape,2,2,1,leftmost,square,red,spotted,circle,red,striped,square,red,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'spotted' or 'square'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'spotted': 50, 'square': 50",50,50
cond4_014.jpeg,cond4,striped,green,spotted,blue,pattern,color,2,2,3,rightmost,triangle,green,striped,triangle,blue,spotted,triangle,green,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'striped' or 'green'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,"'Striped': 50
'Green': 50",50,50
cond4_015.jpeg,cond4_diff,spotted,circle,striped,square,pattern,shape,2,2_diff,1,leftmost,circle,red,spotted,circle,red,striped,square,red,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'spotted' or 'circle'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,"'Spotted': 70
'Circle': 30",70,30
cond4_016.jpeg,cond4,spotted,square,striped,circle,pattern,shape,2,2,2,middle,circle,red,striped,square,red,spotted,square,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'square'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'square': 60
'spotted': 40",40,60
cond4_017.jpeg,cond4,green,square,blue,circle,color,shape,2,2,1,leftmost,square,green,checked,square,green,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'square'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'green': $30  
'square': $70",30,70
cond4_018.jpeg,cond4,green,spotted,blue,striped,color,pattern,2,2,2,middle,triangle,green,spotted,triangle,green,spotted,triangle,blue,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,"'Green': 50  
'Spotted': 50",50,50
cond4_019.jpeg,cond4_diff,square,striped,circle,spotted,shape,pattern,2,2_diff,3,rightmost,circle,red,striped,square,red,spotted,square,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'striped'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"'striped': 60
'square': 40",40,60
cond4_020.jpeg,cond4,green,striped,blue,spotted,color,pattern,2,2,1,leftmost,triangle,green,striped,triangle,blue,spotted,triangle,green,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'striped'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"'Green': 0
'Striped': 0

I would bet $50 on 'green' and $50 on 'striped'. Both words apply to the leftmost object, but neither uniquely identifies it, since there is another green object and another striped object.",none,none
cond4_021.jpeg,cond4,green,circle,blue,square,color,shape,2,2,1,leftmost,circle,green,checked,circle,green,checked,square,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'circle'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,"'Circle': 60  
'Green': 40",40,60
cond4_022.jpeg,cond4_diff,blue,spotted,green,striped,color,pattern,2,2_diff,2,middle,triangle,blue,striped,triangle,blue,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'blue' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,"'Blue': 70  
'Spotted': 30",70,30
