image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought_summary,listener_answer_correct,listener_answer_note
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",the target is the vertically striped triangle in the bottom right corner.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","the target is the checkerboard pattern, outlined in blue.",,['square'],['checker'],FALSE,TRUE,TRUE,"3, 2",,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","the object you are looking for is a gray circle with wavy lines inside, outlined in red. it is located to the left of a red curtain with a white question mark on it.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",the target is the square with a checkerboard pattern.,,['square'],['checker'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",the target is the square with a blue outline and a wavy pattern inside.,,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1","the object i'm referring to is a black-outlined circle with a checkerboard pattern inside, where the squares are grey and white.",,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",the target is the striped circle that is outlined in red.,,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",the target is the blue triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",the target is the circle in the top left cell. it has a red outline and is filled with wavy gray lines.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","the target is the square with vertical grey stripes on a white background, which is outlined by a solid red line and then by a dashed red line.",,['square'],['stripe'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","the object in the bottom left, the one with the wavy pattern.",,['square'],"['wavy', 'zigzag']",FALSE,FALSE,TRUE,"1, 3",,TRUE,
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",the object i'm referring to is a black triangle with a wavy grey and white pattern inside.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",the target is the square with the black border filled with a checkerboard pattern.,,['square'],['dot'],TRUE,FALSE,FALSE,"2, 3",,FALSE,flipped
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",the target object is a red star with a checkered pattern inside it.,,['star'],['checker'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",the target is a green-outlined triangle filled with gray dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",the target is the square with the solid green border.,,['square'],['dot'],TRUE,TRUE,FALSE,"2, 3",,TRUE,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",the target is the green star with vertical stripes.,,['star'],['stripe'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1","the object is a star, outlined in blue, with a white interior filled with small gray dots.",,['star'],['dot'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1","the object is a red-bordered triangle with a gray background filled with small, evenly spaced dots.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1","the target is a triangle with a dotted pattern inside, in the top row.",,"['triangle', 'triangular']",['dot'],TRUE,FALSE,TRUE,"1, 1",,TRUE,
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",the triangle with red edges and vertical stripes is the target.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",the target is the square in the top right corner. it has black vertical stripes and a black outline.,,['square'],['stripe'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",the object is a green circle filled with small gray dots.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",the object i'm referring to is a green triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3","the target is the star with a blue outline and gray dots inside, located in the bottom left of the grid.",,['star'],['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1","the target image is a black outline of a star with a checkerboard pattern inside, located in the top-left square.",,['star'],['checker'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",the object is a blue star with a checkered pattern in the middle.,,['star'],['checker'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",the target is the blue triangle.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,FALSE,"1, 1",,TRUE,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",the image with the red dashed border is a circle. the circle is outlined in red and contains a wavy pattern.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",the target is the only circle with a wavy pattern inside and a green border.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",the object is a green circle with a gray and white checkered pattern inside.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",the object you are looking for is a red triangle filled with vertical gray stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",the target is the star with vertical stripes inside.,,['star'],['stripe'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",the target is the square with grey dots inside.,,['square'],['dot'],TRUE,FALSE,TRUE,"1, 1",,FALSE,ambiguous
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",the target is the black outlined star that is directly below the green-outlined star.,,['star'],['dot'],TRUE,TRUE,FALSE,"3, 2",,TRUE,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",the green star with small dots inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1","the object i want you to select is a grey triangle with a black border, filled with wavy lines.",,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3",the image in the bottom right corner has a red dotted line around it and shows a circle with vertical grey and white stripes.,,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",the object i'm referring to is a blue-bordered triangle with a wavy grey pattern inside.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",the target is a square with a blue outline and vertical gray stripes.,,['square'],['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",the object i want you to select is in the top row and is highlighted by a dashed red box.,,"['circle', 'circular']",['dot'],FALSE,TRUE,FALSE,"3, 1",,TRUE,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",the target is the circle in the bottom right corner. it has a wavy pattern inside and a red outline.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1","the target is the star with a wavy pattern inside, not the one with straight lines.",,['star'],"['wavy', 'zigzag']",TRUE,FALSE,TRUE,"1, 1",,TRUE,
