image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought,listener_answer_correct,listener_answer_note
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","pick the triangle with vertical stripes inside (not the one with wavy lines, and not the star).","**Describing target shapes**

I need to describe a specific target object so the listener can identify it correctly. I can't use spatial references like ""bottom right."" The target is a triangle outlined in black, filled with vertical gray and white stripes, which is different from another triangle with a wavy pattern. I should refer to it as ""the striped triangle"" or ""the triangle with vertical stripes."" It's essential to make the description unique and clear!","['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3","**Determining grid coordinates**

I'm focusing on a simple 3x3 grid setup. The important part here is that I need to identify the location of a triangle with vertical stripes, which is positioned in the bottom right corner. So, that gives me a clear output: column 3, row 3. It's straightforward and to the point, but makes me double-check to ensure I'm understanding the layout correctly. I think I'm on the right track!",TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the square with a gray checkerboard pattern framed by a blue border.,"**Exploring referring expressions**

I need to create a referring expression for a grey checkerboard pattern with a blue frame. The grid is 3x3 and contains some empty spots, a star, curtains, and that target checkerboard. I should highlight unique features and avoid spatial references like ""top left."" I also have to consider that there might be other patterns hidden behind the curtains. So, it’s tricky since the listener knows what’s behind them. We need to aim for clarity despite this uncertainty.",['square'],['checker'],TRUE,TRUE,TRUE,"3,2",none,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",pick the gray circle that has wavy stripes inside and a thick red border.,"**Designing descriptive reference**

I need to describe a dashed red box around a circle with a wavy gray pattern while avoiding spatial references like ""bottom left."" I should focus on the visible properties since I can’t see behind the curtains. The visible shapes include stars and circles in a 3x3 grid. For the target circle, I'll mention its features, like it being “the only circle.” I must avoid assumptions about what's behind the curtains that might match.","['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,1 3,"**Interpreting grid coordinates**

I need to interpret the grid columns from left to right and the rows from top to bottom to find the coordinates. The gray circle with wavy stripes and thick red border is located in the bottom-left cell, which is column 1, row 3. The directions say to refer to the object by the column and row number, so I think I'll go with ""1 3"" instead of using a comma.",TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",pick the blue-outlined square with the gray checkerboard pattern inside.,"**Describing a grid pattern**

I'm looking at a 3x3 grid, where only a few cells are filled. The middle top cell has a triangle with a black border and grey polka dots. The bottom-left cell features a green star outline with grey polka dots inside, and the bottom-middle cell showcases a blue star outline with grey vertical stripes. The bottom-right cell has a blue square frame with a grey checkerboard fill. I need to direct attention to the blue-outlined square with the grey checkerboard pattern. It's essential to be concise and clear!",['square'],['checker'],TRUE,TRUE,TRUE,"3, 3","**Creating a grid layout**

I need to establish a 3x3 grid, which means I’m thinking about how to define its columns and rows clearly. It seems that the blue outlined square is located in the bottom right, which corresponds to column 3, row 3. Let’s visualize this setup to ensure everything is organized properly. The grid will help me structure whatever content comes next, making it easy to follow along!",TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",pick the blue-outlined square that’s filled with gray and white wavy lines.,none,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3","**Determining coordinates format**

I need to describe a grid arrangement with a blue outlined square and various shapes. There's a 3x3 grid setup where the shapes are placed in specific columns and rows. I'm trying to clarify the instruction on how to give the answer: should it be ""2 3"" or ""2,3""? The instruction asks for just the column and row number. I’m thinking it's safe to go with ""2, 3"" for the answer.",TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",pick the circle with a black outline and a gray checkerboard pattern inside.,none,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2,1","**Identifying grid elements**

I need to identify a 3x3 grid, which consists of columns 1-3 from left to right and rows 1-3 from top to bottom. I'm noting that there's a circle with a black outline and a gray checkerboard inside it, located at column 2, row 1. This layout seems straightforward, but I want to ensure I'm clear about these details to avoid any confusion later on!",TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",pick the striped circle that has a red border around it.,"**Describing a grid layout**

I'm visualizing a 3x3 grid, with the top row filled with empty white tiles. In the middle row, the first and third cells have a red curtain, while the center is empty. The bottom row contains a dashed red box as a target, showcasing a circular disc with vertical grey/white stripes and a red outline on the left. The bottom middle is empty, and the bottom right has another striped circle, this time outlined in blue. I need to create a clear description that avoids spatial references, focusing on visible features like ""the striped circle with the red border"" versus ""with blue border.""","['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"1, 3","**Identifying grid coordinates**

I need to focus on the column and row numbers for a 3x3 grid. It's clear that I have three columns and three rows. The striped circle with a red border is specifically located in the bottom-left cell, which means it's in column 1, row 3. This is a straightforward layout, and I’m just ensuring I have the right placements noted!",TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the blue-outlined triangle with gray vertical stripes inside.,"**Describing the target shape**

I'm focusing on a blue triangle that has vertical stripes. I really want to avoid using terms like left or right and can't mention a dashed box. I need to highlight contrasts with other shapes around it, like wavy patterned squares and a star. My description could be something like, ""the only blue-outlined triangle with gray vertical stripes."" Oh, and definitely remember not to mention a curtain. Alright, I think I'm done!","['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3,1","**Organizing a grid layout**

I'm working on creating a 3x3 grid. I need to identify the column and row positions. For the design, there's a blue outlined triangle with gray vertical stripes that should be placed in the top row and the third column, so I think of it as “3,1” for column-row format. This layout seems straightforward, but I want to ensure I've got the placements right so it looks nice!",TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the gray circle that has wavy zigzag lines inside it and a red outline.,"**Clarifying target object description**

I need to produce a clear expression for the target object shown in the dashed red box. It looks like I'm dealing with a 3x3 grid where the top-left cell has a wavy gray circle with a red outline. The middle and bottom cells have curtains with question marks, while the bottom right cell shows gray polka dots with a black outline. I want to avoid spatial terms since there could be different layouts, and I need to describe only visible attributes. The hidden cells potentially contain unknown shapes, but I can't use that information.","['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,1 1,"**Identifying coordinates**

I need to identify a gray circle with wavy zigzag lines inside and a red outline. It looks like I’m inspecting a 3x3 grid. The top left cell has a circle that matches the description, so that’s in column 1, row 1. The answer format is either ""1, 1"" or ""1 1."" It makes sense to stick with ""1 1,"" so I'll go with that. My final answer is ""1 1.""",TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",pick the image that’s a red-framed square filled with vertical gray-and-white stripes (not dots and not a curtain).,"**Describing the target object**

I'm in a reference game, and I need to describe a target object without relying on its spatial position. The target is within a red square border and has vertical gray stripes. I’m comparing it to other visible objects: a dotted circle and two curtains that hide what's behind them. It’s important to be clear since others can see what's behind the curtains, but I can't assume anything. I’ll say, ""the square frame with vertical gray and white stripes.""",['square'],['stripe'],TRUE,TRUE,TRUE,3 2,"**Identifying grid coordinates**

I need to provide just the column and row numbers for a grid that's 3x3. The object is a red-framed square filled with vertical gray-white stripes, which is positioned at column 3, row 2. So, I’ll respond with ""3 2"" or ""3,2"". It seems clear that sticking to those coordinates is the right approach. I’m feeling confident about this one!",TRUE,
