image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",the target is the vertically striped triangle.,,"['triangle', 'triangular']",['stripe'],True,False,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","select the square containing a grey and white checkerboard pattern, which has a solid blue border.",,['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",which one of these do you think is the target? it's a gray circle with white wavy lines inside.,,"['circle', 'circular']","['wavy', 'zigzag']",True,False,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",the target object is a blue-bordered square with a grey and white checkerboard pattern inside.,,['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",the target is the square with a blue border and grey wavy horizontal lines inside.,,['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",the target object is a circle with a thick black outline and a grey and white checkerboard pattern inside.,,"['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",the object is a gray and white vertically striped circle with a red border.,,"['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",the target is the blue-outlined triangle containing vertical gray stripes.,,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",pick the circle filled with a grey and white horizontal wavy pattern and outlined with a red border.,,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",the target is the square containing gray vertical stripes within a red border.,,['square'],['stripe'],True,True,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",the target is the square with horizontal grey and white wavy lines.,,['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",select the triangle with a wavy pattern and a thick black outline.,,"['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2",the object to select is the square with a dotted pattern inside and a solid red border.,,['square'],['dot'],True,True,True
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",the target object is the star with a red border and a grey checkered pattern inside.,,['star'],['checker'],True,True,True
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",the target is the triangle with a green outline and a grey dotted pattern inside.,,"['triangle', 'triangular']",['dot'],True,True,True
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",the target object is the green-bordered square filled with a pattern of small gray dots.,,['square'],['dot'],True,True,True
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",the target object is the green-outlined star filled with vertical grey and white stripes.,,['star'],['stripe'],True,True,True
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",the target object is the blue-outlined star filled with gray dots.,,['star'],['dot'],True,True,True
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",the target is the triangle with a red border and a dotted pattern inside.,,"['triangle', 'triangular']",['dot'],True,True,True
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",the target is the triangle filled with a grey dot pattern.,,"['triangle', 'triangular']",['dot'],True,False,True
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",the target is the triangle with a red outline and gray vertical stripes.,,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",the target is the square with vertical grey stripes and a thick black border.,,['square'],['stripe'],True,True,True
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",the target object is the green-outlined circle filled with small grey dots.,,"['circle', 'circular']",['dot'],True,True,True
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",the target object is the green-outlined triangle with grey vertical stripes.,,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",the target object is the blue-outlined star containing a grey polka-dot pattern.,,['star'],['dot'],True,True,True
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",the target object is the star with a checkered pattern inside.,,['star'],['checker'],True,False,True
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",the target object is the blue-outlined five-point star with a checkered pattern inside.,,['star'],['checker'],True,True,True
