image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","The target is the triangle in the bottom right, which has vertical stripes.",
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",The object I'm referring to is the one with the blue border. It looks like a chessboard pattern.,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","The object is a gray circle with a wavy pattern inside, outlined by a red border.",
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",The target is a chessboard pattern.,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",The object I'm referring to is the square with a blue border that contains a wavy gray and white pattern.,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",The target is a circle with a black outline and a checkered pattern inside.,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",The target is the striped circle that is outlined in red.,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",The target is the blue triangle with vertical stripes.,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","The target object is in the top row, left column. It's a gray circle with a wavy pattern, outlined in red.",
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","The object I'm referring to is the one with vertical gray and white stripes, enclosed within a solid red outline, and then a dashed red outline.",
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","The object is a square with a wavy pattern on a gray background, outlined in black.",
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",The target is the black triangle filled with horizontal wavy lines.,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","The target object is a square with a dotted pattern, located in the middle right of the image.",
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2","The object is a star with a checkerboard pattern inside, and a solid red outline.",
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2","The object in the middle row, right column.",
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",The target is the square with the green border and gray polka dots.,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",The target is the star with vertical stripes inside.,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",The object in the top left corner is a star.,
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1","The target is the triangle in the top right, it has a red border and is filled with grey dots.",
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1","The object you are looking for is a triangle with a dotted pattern inside, on a white background. It's not the one with vertical stripes.",
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",The target is the red-outlined triangle with vertical stripes.,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1","The target is a square with a black border and vertical grey stripes, located in the top right of the grid.",
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",The target is a green-bordered circle filled with gray dots.,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",The object is a green triangle with vertical stripes.,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",The target is the blue star with grey polka dots inside it.,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",The target object is a star that has a black outline and is filled with a checkerboard pattern.,
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",The target is the blue outlined star with a checkered pattern inside it.,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",The target is the blue triangle filled with dots.,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",The target is a circle with a red border filled with a wavy pattern.,
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",The target is a circle with a green outline and a wavy pattern inside.,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",The target is the checkered circle in the top row.,
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",The object I'm referring to is a red outlined triangle that is filled with vertical gray stripes.,
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",The target object is a green star with a striped fill.,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",The target is in the bottom-left corner of the grid. It's a square filled with gray dots.,
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",The target is the black star with the dotted pattern inside.,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",The target is a green star with a dotted pattern inside.,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1","The image has a grid layout, and the object I want you to select is in the top left cell. It's a triangle with a black outline filled with a wavy gray pattern.",
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3","The image you're looking for is in the bottom right corner, and it's a circle with vertical gray and white stripes inside a red ring.",
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",The object I want you to select is a triangle. It has a blue border and is filled with a wavy gray pattern.,
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",The object is a square with a blue outline and a vertical striped pattern inside.,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",The target is the square with the red-outlined circle that has gray dots.,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",The object in the bottom right corner of the grid is a circle with a red outline and grey wavy stripes inside.,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",The target object is a green star with a wavy gray pattern inside.,
