image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",The target object is the triangle with vertical grey stripes inside.,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the checkerboard pattern outlined in blue.,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","The target object is a circle filled with a wavy pattern, enclosed within a red dashed border.",
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",The target is the square with a blue border and a grey and white checkerboard pattern inside.,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3","The target is the square filled with wavy horizontal grey lines, outlined in blue.",
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",The target is the black-bordered circle with a gray and white checkerboard pattern inside.,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the circle with the red outline.,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Choose the triangle with vertical stripes and a blue outline.,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",The target is the circle filled with a grey and white horizontal wavy pattern.,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","The target object is the square containing vertical grey stripes, which is framed by a solid red border.",
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3",Please select the square that contains a gray and white horizontal wavy pattern.,
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",The target object is the triangle with wavy lines inside.,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","The target object is the square filled with small dots, surrounded by a red border.",
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",The target object is the star with a red border and a grey checkered pattern inside.,
