image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","Select the **triangle** that has **vertical gray stripes** inside it (not the wavy-pattern triangle, and not the star).",none
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the **gray-and-white checkerboard pattern** (a square grid of alternating light/dark gray squares) with a **blue border**.,none
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the **circle** with a **thick reddish outline** and a **gray interior filled with white wavy zigzag lines** (looks like a patterned coin).,none
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Select the **square with a gray-and-white checkerboard pattern** and a **thick blue border**.,none
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** that’s filled with **repeating wavy gray-and-white horizontal lines** (looks like a wave pattern).,none
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with the black outline** that has a **gray-and-white checkerboard pattern** inside.,none
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the circle filled with vertical gray stripes that has a **red outline** (not the blue-outlined one).,none
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",Select the **upright triangle with a thick blue outline** that’s filled with **vertical gray stripes** (no wavy pattern).,none
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Select the circle that has a **red outline** and is filled with a **gray-and-white wavy/zigzag pattern** (like repeating waves).,none
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Select the tile that shows **vertical gray-and-white stripes** inside a **red square frame** (no question-mark curtain).,none
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","Select the tile that shows a repeating **gray wavy/zigzag (sine-wave) pattern** on a white background, framed by a **thick dark border**.",none
