image_file,condition,occlusion,distractor,non_target,speaker_answer,listener_question
exp2_001.jpeg,cond2,absent,present,2,The triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_002.jpeg,cond4,present,present,4,The checkered pattern.,Imagine someone is talking to you and tells you 'The checkered pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_003.jpeg,cond3,present,absent,4,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_004.jpeg,cond1,absent,absent,3,The checkered square.,Imagine someone is talking to you and tells you 'The checkered square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_005.jpeg,cond2,absent,present,3,The wavy patterned square.,Imagine someone is talking to you and tells you 'The wavy patterned square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_006.jpeg,cond2,absent,present,4,The circle with a black border and checkerboard pattern.,Imagine someone is talking to you and tells you 'The circle with a black border and checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_007.jpeg,cond4,present,present,3,the circle with the red border.,Imagine someone is talking to you and tells you 'the circle with the red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_008.jpeg,cond1,absent,absent,4,The blue triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The blue triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_009.jpeg,cond4,present,present,2,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_010.jpeg,cond3,present,absent,3,The striped rectangle.,Imagine someone is talking to you and tells you 'The striped rectangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_011.jpeg,cond4,present,present,2,The wavy pattern.,Imagine someone is talking to you and tells you 'The wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_012.jpeg,cond1,absent,absent,4,The triangle with the wavy pattern.,Imagine someone is talking to you and tells you 'The triangle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_013.jpeg,cond2,absent,present,2,the square with dots.,Imagine someone is talking to you and tells you 'the square with dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_014.jpeg,cond2,absent,present,4,The star with a checkerboard pattern inside.,Imagine someone is talking to you and tells you 'The star with a checkerboard pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_015.jpeg,cond4,present,present,2,The green triangle with gray dots.,Imagine someone is talking to you and tells you 'The green triangle with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_016.jpeg,cond1,absent,absent,2,The green square with dots.,Imagine someone is talking to you and tells you 'The green square with dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_017.jpeg,cond3,present,absent,4,The green star with vertical stripes.,Imagine someone is talking to you and tells you 'The green star with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_018.jpeg,cond3,present,absent,3,The blue star with a dotted pattern.,Imagine someone is talking to you and tells you 'The blue star with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_019.jpeg,cond4,present,present,3,The triangle with the wavy pattern and blue border.,Imagine someone is talking to you and tells you 'The triangle with the wavy pattern and blue border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_020.jpeg,cond4,present,present,3,The triangle with the polka dot pattern.,Imagine someone is talking to you and tells you 'The triangle with the polka dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_021.jpeg,cond1,absent,absent,3,The red triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The red triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_022.jpeg,cond1,absent,absent,4,The square with vertical stripes.,Imagine someone is talking to you and tells you 'The square with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_023.jpeg,cond2,absent,present,4,The green circle with gray dots.,Imagine someone is talking to you and tells you 'The green circle with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_024.jpeg,cond2,absent,present,2,The green triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The green triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_025.jpeg,cond3,present,absent,2,The star with a blue outline and gray dots inside.,Imagine someone is talking to you and tells you 'The star with a blue outline and gray dots inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_026.jpeg,cond4,present,present,2,The star with the checkerboard pattern.,Imagine someone is talking to you and tells you 'The star with the checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_027.jpeg,cond3,present,absent,2,The star.,Imagine someone is talking to you and tells you 'The star.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_028.jpeg,cond2,absent,present,3,The blue triangle with a dotted pattern.,Imagine someone is talking to you and tells you 'The blue triangle with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_029.jpeg,cond1,absent,absent,4,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_030.jpeg,cond2,absent,present,3,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_031.jpeg,cond3,present,absent,3,The checkered circle.,Imagine someone is talking to you and tells you 'The checkered circle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_032.jpeg,cond3,present,absent,4,the triangle,Imagine someone is talking to you and tells you 'the triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_033.jpeg,cond1,absent,absent,3,The star with stripes.,Imagine someone is talking to you and tells you 'The star with stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_034.jpeg,cond4,present,present,4,The square with gray dots inside a red border.,Imagine someone is talking to you and tells you 'The square with gray dots inside a red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_035.jpeg,cond4,present,present,3,The star with the black outline.,Imagine someone is talking to you and tells you 'The star with the black outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_036.jpeg,cond2,absent,present,4,The green star with a dot pattern.,Imagine someone is talking to you and tells you 'The green star with a dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_037.jpeg,cond3,present,absent,3,The triangle with wavy lines.,Imagine someone is talking to you and tells you 'The triangle with wavy lines.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_038.jpeg,cond3,present,absent,2,The striped circle.,Imagine someone is talking to you and tells you 'The striped circle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_039.jpeg,cond4,present,present,4,The triangle with a blue border and a gray wavy pattern inside.,Imagine someone is talking to you and tells you 'The triangle with a blue border and a gray wavy pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_040.jpeg,cond1,absent,absent,4,The blue-bordered square with vertical stripes.,Imagine someone is talking to you and tells you 'The blue-bordered square with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_041.jpeg,cond4,present,present,2,The circle with a thin red border.,Imagine someone is talking to you and tells you 'The circle with a thin red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_042.jpeg,cond1,absent,absent,3,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_043.jpeg,cond2,absent,present,4,The star with the wavy pattern.,Imagine someone is talking to you and tells you 'The star with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_044.jpeg,cond3,present,absent,3,The target is the square with gray dots.,Imagine someone is talking to you and tells you 'The target is the square with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_045.jpeg,cond1,absent,absent,2,The triangle.,Imagine someone is talking to you and tells you 'The triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_046.jpeg,cond2,absent,present,4,The star with a red border and wavy pattern.,Imagine someone is talking to you and tells you 'The star with a red border and wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_047.jpeg,cond4,present,present,3,The target is the striped pattern.,Imagine someone is talking to you and tells you 'The target is the striped pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_048.jpeg,cond2,absent,present,3,The striped square with the red border.,Imagine someone is talking to you and tells you 'The striped square with the red border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_049.jpeg,cond4,present,present,3,The striped rectangle with the green border.,Imagine someone is talking to you and tells you 'The striped rectangle with the green border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_050.jpeg,cond3,present,absent,3,The star with stripes.,Imagine someone is talking to you and tells you 'The star with stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_051.jpeg,cond1,absent,absent,3,The triangle with wavy gray and white stripes.,Imagine someone is talking to you and tells you 'The triangle with wavy gray and white stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_052.jpeg,cond3,present,absent,3,The triangle with a checkerboard pattern.,Imagine someone is talking to you and tells you 'The triangle with a checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_053.jpeg,cond1,absent,absent,3,The triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_054.jpeg,cond2,absent,present,4,The triangle with the checkerboard pattern.,Imagine someone is talking to you and tells you 'The triangle with the checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_055.jpeg,cond1,absent,absent,2,The triangle with a blue outline and gray dots inside.,Imagine someone is talking to you and tells you 'The triangle with a blue outline and gray dots inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_056.jpeg,cond2,absent,present,3,The blue triangle with a wavy pattern.,Imagine someone is talking to you and tells you 'The blue triangle with a wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_057.jpeg,cond4,present,present,3,The triangle with the wavy pattern.,Imagine someone is talking to you and tells you 'The triangle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_058.jpeg,cond3,present,absent,2,The green circle with gray dots.,Imagine someone is talking to you and tells you 'The green circle with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_059.jpeg,cond3,present,absent,3,The star with a wavy pattern.,Imagine someone is talking to you and tells you 'The star with a wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_060.jpeg,cond1,absent,absent,2,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_061.jpeg,cond3,present,absent,2,The green star with vertical stripes.,Imagine someone is talking to you and tells you 'The green star with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_062.jpeg,cond1,absent,absent,4,The green square with a dotted pattern.,Imagine someone is talking to you and tells you 'The green square with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_063.jpeg,cond2,absent,present,2,The triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_064.jpeg,cond1,absent,absent,3,"The star with a dotted pattern inside, outlined in red, and surrounded by a dashed red box.","Imagine someone is talking to you and tells you 'The star with a dotted pattern inside, outlined in red, and surrounded by a dashed red box.' Which object are they telling you about? Please use refer to the object by the column number and the row number."
exp2_065.jpeg,cond3,present,absent,2,The checkered square.,Imagine someone is talking to you and tells you 'The checkered square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_066.jpeg,cond2,absent,present,4,The black-bordered circle with a gray dot pattern.,Imagine someone is talking to you and tells you 'The black-bordered circle with a gray dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_067.jpeg,cond4,present,present,3,The wavy pattern inside the blue border.,Imagine someone is talking to you and tells you 'The wavy pattern inside the blue border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_068.jpeg,cond4,present,present,4,The star with horizontal stripes.,Imagine someone is talking to you and tells you 'The star with horizontal stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
