image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","select the **upright triangle with a thick black outline that’s filled with straight vertical gray stripes** (not the triangle with wavy lines, and not the wavy-pattern star).","**Describing a triangle**

I'm thinking about a triangle that has vertical stripes outlined in black, with gray lines running through. I want to focus on the visual aspects without mentioning its position. I should also consider other objects that might complement the triangle, like a triangle that has a wavy pattern and a star with a wavy design. There’s a lot to capture here, so I want to ensure my description is clear and focused on these features!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the square tile that shows a gray-and-white checkerboard pattern (like a chessboard) inside a thick blue frame.,"**Describing target design**

I need to describe a design that features a checkerboard pattern with gray and white squares, framed by a blue border. It’s important to note that the description isn't about spatial arrangements. Instead, I'm focusing on the visual elements themselves, emphasizing the color combination of gray and white along with the striking blue border. I'm curious about how this design conveys a sense of style and aesthetic appeal!",['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",select the **round circle emblem**: it has a **reddish outer ring** and the inside is filled with a **gray-and-white wavy (zigzag) pattern**.,"**Describing visual elements**

I need to describe a target that includes a dashed red box located around the bottom-left cell. Inside this box, there’s a circle, which has a red outline and a gray wavy pattern. It's important to note that the shape is specifically a circle, without reference to spatial aspects or the box itself. Clear communication here will help convey the visual accurately!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",select the **square tile with a blue border that has a gray-and-white checkerboard pattern** (like a chessboard).,"**Describing the checkerboard cell**

I need to refer to a specific target: the bottom right cell, which has a checkered pattern and a blue outline. It’s important to provide a clear description without mentioning any spatial details, so I’ll focus on the attributes instead. I’m thinking about emphasizing the square shape and the checkered design, which would help convey the visual information clearly to understand its features. Keeping it straightforward is key.",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **square tile with a thick blue border** that’s filled with a **repeating wavy (zigzag) pattern in gray and white** (looks like horizontal waves).,"**Describing graphic appearance**

I need to describe a target that consists of a square with a blue border, and there's a wavy gray and white pattern inside it. I should focus on the graphic aspects rather than spatial details. The blue border likely gives it a defined outline, while the wavy pattern might introduce a sense of motion or depth. It's all about creating a visual impression without getting into dimensions or placements. This way, it stays clear and engaging!",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard pattern**.,"**Describing a target design**

I need to focus on the target’s appearance. It's a top middle circle that has a black outline with a checkerboard fill. I should describe this without discussing its location. So I'll mention the distinct features: the circle itself, the black border, and the gray-white checker pattern. It seems crucial to convey these details clearly to paint an accurate picture. Alright, let’s put that together!","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the circle with a **red outline** that’s filled with **vertical gray stripes** (a red-rimmed striped disk).,"**Describing a visual element**

I need to describe the target element, which is a bottom-left circle with a red outline. It's important that I focus on the colors and patterns rather than the spatial position. So, I'll refer to it as a red-bordered circle adorned with vertical gray stripes. This paints a clear picture without getting into where it is located in the layout. Let’s keep it straightforward while highlighting the key features!","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **upright triangle** with a **thick blue outline** and **vertical gray stripes** inside (no wavy pattern).,"**Describing triangle outline**

I need to focus on the characteristics of a top-right triangle outlined in blue that has vertical gray stripes. I should capture the essence of its design without referencing its specific position. It’s important to convey the color scheme and pattern clearly while creating a vivid image. Let’s think about how to describe these elements effectively to ensure that the user can visualize it accurately. Okay, I’m ready to craft that description!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the circle with a **thick red outline** that’s filled with **gray-and-white wavy (zigzag) horizontal stripes**.,"**Describing the target shape**

I need to describe the target, focusing on the top-left circle that has a distinct appearance. It features a red outline, and the interior is filled with grey wavy lines, which create a sense of movement. I want to avoid any spatial descriptions and instead emphasize the bold red border and the unique wavy pattern inside the circle. This helps to create a clear image of what I’m trying to convey.","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","select the tile that shows a square filled with vertical grey stripes (like a barcode), framed by a thick red border.","**Describing the pattern**

I need to focus on the target, which has grey vertical stripes arranged within a square that features a red border. I shouldn't include any spatial details, but instead, I’ll concentrate on the pattern itself. The combination of grey stripes against the red border creates a striking visual effect. It’s interesting how patterns can influence perception and mood, and I want to make sure I capture that essence in the description!",['square'],['stripe'],True,True,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","select the tile that shows a gray square filled with repeating **horizontal wavy (zigzag-like) white stripes**, outlined by a **dark border** (it looks like a rippling wave pattern).","**Describing visual elements**

I need to focus on the target, which is a bottom-left wavy grey pattern. I want to avoid being too spatial in my description and just describe it vividly. There’s also a green box with stripes nearby, and I shouldn’t forget about the two hidden curtains. I think the key is to provide a unique description that captures the essence of these elements without getting lost in their placement.",['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",select the **black-outlined triangle** that’s filled with a **gray wavy (zigzag) pattern**.,"I'm thinking I need to describe a triangle that has a wavy pattern and a black outline. Since the user requested no spatial references, I’ll focus on the visual aspects without mentioning its positioning or location. I'll break down what the wavy pattern looks like, maybe discussing its flow and how the black outline enhances its appearance. Keeping it clear and straightforward will help the user visualize it better without complicating the description.","['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","select the **square tile with a white background covered in evenly spaced small gray polka dots**, framed by a **reddish/pink border**.","**Describing a design**

I need to describe a square design that has a pattern of grey polka dots on a white background, all framed by a red border. It's interesting to focus on the pattern itself rather than its position, which gives me a chance to highlight how the colors and shapes interact visually. The combination of polka dots and the bold red border adds a unique flair to the overall look, making it stand out!",['square'],['dot'],True,True,True
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2","select the **five-point star with a red outline**, and the inside of the star is filled with a **gray-and-white checkerboard pattern**.","**Describing a target shape**

I need to describe a target that's a red outlined star filled with a checkered pattern. The key here is to focus on the characteristics without emphasizing its location. So, I'll highlight the bright red outline that defines the star’s shape and the distinct checkered fill, which likely adds texture and visual interest. I’ll aim for clarity, making sure the description conveys the important features of this target!",['star'],['checker'],True,True,True
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",select the triangle with a bright green outline and a light gray interior filled with evenly spaced dark polka dots (not the blue-outlined checkerboard triangle).,"**Describing the triangle**

I'm figuring out how to describe a triangle that has a green outline and is filled with grey polka dots. I want to focus on the visual aspects and avoid spatial language, so I’ll emphasize the color and pattern. The triangle stands out with its vibrant green outline, contrasting beautifully against the playful grey polka dots inside. Overall, it's a fun and eye-catching design! This should capture the essence I'm aiming for.","['triangle', 'triangular']",['dot'],True,True,True
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",select the **square** with a **green border** that’s filled with a **light gray polka-dot pattern** (dark gray dots).,"**Describing a target shape**

I need to describe a target that's a green square adorned with gray polka dots. While mentioning its shape and border, I want to ensure I avoid spatial references, which can be tricky. I should also provide a clear reference point, focusing on the visual elements without emphasizing its position in space. I'll make sure my description is vivid and easy to understand, capturing the essence of this patterned square.",['square'],['dot'],True,True,True
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",select the **green five-point star outline** that has **gray vertical stripes inside** (a striped star).,"**Describing the star design**

I'm focusing on how to describe a target that features a green outlined star with grey vertical stripes inside. I want to emphasize that it's a star shape, which has this distinct color combination. The green outline gives it a vibrant look, while the grey stripes add a unique texture. It's important to convey both the shape and the color clearly for optimal understanding. I think that's a great way to present it!",['star'],['stripe'],True,True,True
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",select the five-pointed star with a thick blue outline and a light gray interior filled with dark gray polka dots.,"I'm thinking about how to describe the target clearly. It’s a blue outlined star, which gives it a fun shape. The gray polka dots add an interesting texture to it without being too distracting. I'll make sure to focus on the visual elements while avoiding any spatial descriptions, since that seems important too. I want to ensure the description is engaging and paints a vivid picture in the user's mind!",['star'],['dot'],True,True,True
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",select the triangle sign with a **red outline** and a **light gray interior filled with evenly spaced dark gray polka dots**.,"**Describing the target element**

I need to refer to the target element, which is the top middle cell featuring a triangle. This triangle has a red outline and a fill of gray polka dots. I want to be clear and avoid any spatial descriptions while focusing on the design details. It’s interesting how something so simple can have such specific characteristics. I'm making sure to capture those elements effectively without confusion!","['triangle', 'triangular']",['dot'],True,True,True
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",select the **upright triangle** with a **thick black outline** that’s filled with a **light gray polka-dot (spots) pattern**.,"**Describing triangle design**

I need to describe a triangle design for the top-left cell. It features a polka dot pattern in gray, which is kind of fun! I should specify that it has a solid black outline, making it stand out. The description should focus on conveying the dotted fill without referencing the actual spatial placement too much, so I’ll keep it straightforward and clear.","['triangle', 'triangular']",['dot'],True,True,True
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",select the **triangle** that has a **red outline** and is filled with **vertical gray stripes** (like a striped warning sign).,"**Describing target design**

I'm thinking about how to describe a target that is a red outlined triangle with vertical gray stripes. I need to focus on non-spatial details to make sure it's understood without implying any location. The red outline stands out sharply, creating a bold contrast against the gray stripes. I want to ensure the description captures the visual aspects clearly while emphasizing the color and pattern without tying it to a specific context. It's an interesting design challenge!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",select the **square** with a **thick black outline** that’s filled with **vertical gray stripes** (no other pattern inside).,"**Describing the target cell**

I'm focusing on describing the target, which is the top row's right cell. This cell has a square black border that frames it nicely, and it features vertical gray stripes inside. I want to provide this description without referencing its spatial location, so I'm concentrating solely on its visual characteristics. The contrasting elements of the black border and gray stripes create a distinct appearance that's easy to visualize!",['square'],['stripe'],True,True,True
